,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Perfekt (feat. Sofiane)","RAF Camora",266418,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr
2,Cataleya,Samra,199480,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR
3,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,174628,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
4,"Valentino Camouflage",Luciano,145906,https://open.spotify.com/track/5phG3pqcfpBIKE63vpheYb
5,"High Hopes","Panic! At The Disco",137827,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
6,"500 PS","Bonez MC",131380,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
7,"Tausend Tattoos",Sido,127439,https://open.spotify.com/track/1rGZd7EVl4aOClpzDLNPwy
8,Meer,Luciano,124367,https://open.spotify.com/track/6hcqxx32EL884qpJXDstsA
9,"Ich liebe es (feat. XATAR & SAMY)","Capital Bra",122110,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn
10,"Be Alright","Dean Lewis",119179,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
11,Happier,Marshmello,116352,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,Kokain,"Bonez MC",115838,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
13,Allein,"Capital Bra",113662,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px
14,"thank u, next","Ariana Grande",112210,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
15,"Sweet but Psycho","Ava Max",112153,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
16,"In My Mind",Dynoro,108311,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
17,Shallow,"Lady Gaga",107711,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
18,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",95797,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
19,"Let You Love Me","Rita Ora",92709,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
20,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,86571,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
21,"Roli Glitzer Glitzer (feat. Luciano & Eno)","Capital Bra",82937,https://open.spotify.com/track/5P8EPCYTLW2bR4PanlvEpI
22,"Without Me",Halsey,81038,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
23,"Eastside (with Halsey & Khalid)","benny blanco",80959,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
24,"Nummer unterdrückt","Bonez MC",80617,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI
25,"Dior 2001",RIN,80470,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
26,Facetime,Dardan,80065,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
27,"when the party's over","Billie Eilish",79973,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
28,Natural,"Imagine Dragons",79480,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
29,"Body (feat. brando)","Loud Luxury",76514,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
30,"Promises (with Sam Smith)","Calvin Harris",71842,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
31,"Melodien (feat. Juju)","Capital Bra",69970,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
32,"Falling Down - Bonus Track","Lil Peep",69583,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
33,Risiko,"Bonez MC",69336,https://open.spotify.com/track/4HIv1dRF270YMyfvuxnF0d
34,"Bad Liar","Imagine Dragons",68906,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
35,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",68809,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
36,"BONNIE & CLYDE",Loredana,68190,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
37,"All I Want for Christmas Is You","Mariah Carey",67540,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
38,UFF,Veysel,67433,https://open.spotify.com/track/6XjEOPgbgHKcaHcunEHSJJ
39,"In meiner Zone 2.0","RAF Camora",64393,https://open.spotify.com/track/0bjRU06oKQ7Rt7kle9zA2b
40,TGV,Veysel,60551,https://open.spotify.com/track/6znV0VSQjAuP2WaIpC6YEz
41,Rise,"Jonas Blue",59994,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
42,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",59673,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
43,Shotgun,"George Ezra",59429,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
44,"Bohemian Rhapsody - 2011 Mix",Queen,58878,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
45,"Girls Like You (feat. Cardi B)","Maroon 5",58172,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
46,"Fightclub (feat. Samra & AK Ausserkontrolle)","Capital Bra",57606,https://open.spotify.com/track/3lr7xUKPIBRmOWwGY2JNSH
47,Youngblood,"5 Seconds of Summer",56094,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
