,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,312964,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"In My Feelings",Drake,243598,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,Shotgun,"George Ezra",195635,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
4,"Solo (feat. Demi Lovato)","Clean Bandit",192064,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
5,Rise,"Jonas Blue",188378,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
6,"One Kiss (with Dua Lipa)","Calvin Harris",180928,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
7,"Jackie Chan",Tiësto,179558,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
8,"Girls Like You (feat. Cardi B)","Maroon 5",178638,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,Ellie,Regi,173683,https://open.spotify.com/track/2NPiBHafyMwJXvSemJ2S0F
10,"No Brainer","DJ Khaled",164843,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
11,"Eastside (with Halsey & Khalid)","benny blanco",164499,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,Youngblood,"5 Seconds of Summer",161254,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
13,"Body (feat. brando)","Loud Luxury",155516,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
14,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,144744,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
15,"Promises (with Sam Smith)","Calvin Harris",144409,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
16,"Lucid Dreams","Juice WRLD",142788,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,"God is a woman","Ariana Grande",136170,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
18,breathin,"Ariana Grande",134041,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
19,"I Like It","Cardi B",132568,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
20,SAD!,XXXTENTACION,130984,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Happy Now",Zedd,125795,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
22,"Be Alright","Dean Lewis",125730,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
23,"SICKO MODE","Travis Scott",122286,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
24,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",120866,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
25,2002,Anne-Marie,120074,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
26,"Taste (feat. Offset)",Tyga,117506,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
27,"no tears left to cry","Ariana Grande",114052,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
28,Djadja,"Aya Nakamura",113231,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
