,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",23129,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,"Venom - Music From The Motion Picture",Eminem,17412,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
3,"Kiss and Make Up","Dua Lipa",16229,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
4,"Without Me",Halsey,15794,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
5,"SICKO MODE","Travis Scott",14743,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",14346,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
7,Shallow,"Lady Gaga",13118,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",12559,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
9,"MIA (feat. Drake)","Bad Bunny",12316,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
10,"Lucky You (feat. Joyner Lucas)",Eminem,11816,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
11,"Let You Love Me","Rita Ora",10877,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
12,"Promises (with Sam Smith)","Calvin Harris",10610,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
13,"I Love It (& Lil Pump)","Kanye West",10484,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
14,Better,Khalid,10396,https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX
15,"In My Mind",Dynoro,10371,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
16,"Better Now","Post Malone",10259,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
17,"No Stylist (feat. Drake)","French Montana",10230,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
18,"when the party's over","Billie Eilish",10177,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
19,Happier,Marshmello,9119,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
20,"God is a woman","Ariana Grande",9068,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
21,"Falling Down - Bonus Track","Lil Peep",9055,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
22,Nonstop,Drake,8866,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
