,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Athina Mou","Konstantinos Argiros",12675,https://open.spotify.com/track/0W6HPXLquJqsIJgES1jzbI
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,10896,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",10319,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Blinding Lights","The Weeknd",9657,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Breaking Me",Topic,9410,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
6,GOOBA,6ix9ine,9161,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
7,"THE SCOTTS","THE SCOTTS",8727,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
8,"Party Girl",StaySolidRocky,8234,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
9,"Toosie Slide",Drake,8124,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
10,"Watermelon Sugar","Harry Styles",7617,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,"Rain On Me (with Ariana Grande)","Lady Gaga",7502,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"The Box","Roddy Ricch",6945,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,"Break My Heart","Dua Lipa",6677,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
14,Millionaire,SNIK,6621,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56
15,"Blueberry Faygo","Lil Mosey",6523,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"death bed (coffee for your head)",Powfu,6406,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"HIGHEST IN THE ROOM","Travis Scott",6327,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
18,"WHATS POPPIN","Jack Harlow",6323,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
19,"Life Is Good (feat. Drake)",Future,6142,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
20,"Don't Start Now","Dua Lipa",6022,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
21,"TROLLZ (with Nicki Minaj)",6ix9ine,5865,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
22,"ily (i love you baby) (feat. Emilee)","Surf Mesa",5780,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
23,"Si on n'aime qu'une fois / I Leksi S' Agapo","Nikos Vertis",5540,https://open.spotify.com/track/529KeIkmeHs4NrHBXy5LfX
24,Nargile,Polo,5539,https://open.spotify.com/track/4ql9XA9yHWTMJwbE0h1ZMx
