,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mama (feat. Kesi)",Gilli,663366,https://open.spotify.com/track/10CdS6lWzNxOaIX1PCuFW5
2,"All I Want for Christmas Is You","Mariah Carey",662498,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,JUNGLE,MellemFingaMuzik,644628,https://open.spotify.com/track/0VWTSWZVask2dSMShSphvM
4,"Last Christmas",Wham!,634426,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"Santa Tell Me","Ariana Grande",535123,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
6,"Sweet but Psycho","Ava Max",508362,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
7,Mistletoe,"Justin Bieber",460292,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
8,Tinka,"Burhan G",457202,https://open.spotify.com/track/5lfdk3SoWmqFc4FPYklQm4
9,"I En Stjerneregn Af Sne","Mads Langer",445100,https://open.spotify.com/track/2MHiE76HdeJznaQtrLwBug
10,"thank u, next","Ariana Grande",443853,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
11,"Merry Christmas Everyone - Remastered","Shakin' Stevens",441089,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
12,"Lille Store Verden","Rasmus Seebach",429139,https://open.spotify.com/track/4ZmaxcxpEmzZgsMZPRdLIG
13,"Driving Home for Christmas","Chris Rea",417466,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
14,"My Only Wish (This Year)","Britney Spears",406332,https://open.spotify.com/track/75zwAkyhjTb6CVX9gMJSU4
15,"Jesus & Josefine",Julie,401091,https://open.spotify.com/track/1upPKSQJreAEGrwNiCnKil
16,"Do They Know It's Christmas? - 1984 Version","Band Aid",381046,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
17,"Let Love Be Love",Juice,379162,https://open.spotify.com/track/4cEhVWWBqVf1JJOUdNRB4v
18,"Jingle Bell Rock","Bobby Helms",368878,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
