,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,öölaps!,Nublu,59022,https://open.spotify.com/track/70qZhu8T6VHpeugYFZCnVk
2,"Mina Ka",Nublu,41082,https://open.spotify.com/track/4WTIwGBQobHLNo320RhOWW
3,"2 Quick Start",Nublu,34397,https://open.spotify.com/track/60mPI11SKSZFlLKzt3KXv5
4,"In My Mind",Dynoro,31783,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
5,"Lucky You (feat. Joyner Lucas)",Eminem,29367,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
6,"Promises (with Sam Smith)","Calvin Harris",26406,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,"The Ringer",Eminem,23806,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
8,"Rulli Rulli Rulli - Nublu Remix",Öed,21091,https://open.spotify.com/track/5qdzvhnYpGt6rogTlOcJe3
9,"Eastside (with Halsey & Khalid)","benny blanco",20118,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,Greatest,Eminem,18287,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
11,"In My Feelings",Drake,18115,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,Kamikaze,Eminem,17583,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
13,Fall,Eminem,16881,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
14,"Body (feat. brando)","Loud Luxury",16653,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
15,"Not Alike (feat. Royce Da 5'9)",Eminem,15921,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
16,"Lucid Dreams","Juice WRLD",15072,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,"Better Now","Post Malone",14996,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,Happier,Marshmello,14806,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
19,Normal,Eminem,14360,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
20,"Jackie Chan",Tiësto,14328,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
21,breathin,"Ariana Grande",14312,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
22,"Stepping Stone",Eminem,14051,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
23,"Girls Like You (feat. Cardi B)","Maroon 5",13945,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
24,Nevermind,"Dennis Lloyd",13746,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
25,"I Got Love","MiyaGi & Endspiel",13149,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
26,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",13114,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
27,"Be Alright","Dean Lewis",12942,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
28,"God is a woman","Ariana Grande",12786,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
29,Rise,"Jonas Blue",12771,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
30,"Happy Now",Zedd,12475,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
31,Youngblood,"5 Seconds of Summer",12350,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
32,"Good Guy (feat. Jessie Reyez)",Eminem,12088,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
33,"Venom - Music From The Motion Picture",Eminem,11795,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
34,"SICKO MODE","Travis Scott",11366,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
35,"Solo (feat. Demi Lovato)","Clean Bandit",11142,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
36,SAD!,XXXTENTACION,11055,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
37,"Paul - Skit","Paul Rosenberg",10992,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
38,Natural,"Imagine Dragons",10878,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
39,"Nice Guy (with Jessie Reyez)",Eminem,10851,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
40,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,10815,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
41,"No Brainer","DJ Khaled",10770,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
42,"Beautiful (feat. Camila Cabello)",Bazzi,10667,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
43,Trenažöör,5MIINUST,10605,https://open.spotify.com/track/6CUrRWNO3KlHuvuw8yESSU
44,"Taste (feat. Offset)",Tyga,10359,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
