,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tavallinen,"Keko Salata",291620,https://open.spotify.com/track/00WO1oBxZcj9aBoeiODXDx
2,"Sweet but Psycho","Ava Max",277588,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
3,"All I Want for Christmas Is You","Mariah Carey",273301,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"Last Christmas",Wham!,257828,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"Juon sut pois",Benjamin,242527,https://open.spotify.com/track/5wPMYlLEaddsrnogZ0oCAt
6,"Kokonaan Mun","Adi L Hasla",240432,https://open.spotify.com/track/7goUH0oJQ8iS0nVoQMRTuK
7,"thank u, next","Ariana Grande",240281,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
8,Nostalgiaa,Evelina,220843,https://open.spotify.com/track/1P371Va3PjCvUQEyepocHQ
9,"Joulun kanssas jaan (feat. Cantores Minores)","Haloo Helsinki!",216620,https://open.spotify.com/track/3RCxl6HWK4ADOzMbY8FZCw
10,"Santa Tell Me","Ariana Grande",213195,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
11,"Kuka Antais Pukille?","Teflon Brothers",209119,https://open.spotify.com/track/7zyofXGhXgaqT8fhvLufdf
12,"Speechless (feat. Erika Sirola)","Robin Schulz",198785,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
13,"It's Beginning to Look a Lot like Christmas","Michael Bublé",197514,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
14,"Different World (feat. CORSAK)","Alan Walker",192741,https://open.spotify.com/track/4heFQCyiW0RUEX1Q1lb008
15,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",192038,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
16,"Palavaa vettä","Lauri Tähkä",190905,https://open.spotify.com/track/44BHl3n0aFIzMhz1bv7jUG
17,"Diamond Heart","Alan Walker",185044,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0
18,"HENDRIX (feat. Aleksanteri Hakaniemi)","Lukas Leon",184172,https://open.spotify.com/track/2ng98WyIOWGTCm71TXB4gi
19,Suomi,"Yksi Totuus",172420,https://open.spotify.com/track/0gIspzcmfUWg5tbXB9Qavx
20,"Falling Down - Bonus Track","Lil Peep",167288,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
21,"Tulkoon joulu","Suvi Teräsniska",165839,https://open.spotify.com/track/1K0ZirzQ9KtHAKOLB5efXs
22,Mistletoe,"Justin Bieber",164755,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
23,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,163193,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
24,"Sun Kyydissä",Mäkki,161354,https://open.spotify.com/track/4rBvqjf38GjJ5WM2ZqfoID
25,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",159351,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
26,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",158527,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
27,"Suomen muotoisen pilven alla","Arttu Wiskari",157833,https://open.spotify.com/track/2lvZlCIDkDHWc2Q9Y51GUJ
28,Snowman,Sia,155584,https://open.spotify.com/track/3E6Ydoy1H8ePoigc10Mgsa
29,Jättiläinen,Pyhimys,151548,https://open.spotify.com/track/3bEc0e8OHd73jfhSjXMoKb
30,"Without Me",Halsey,151480,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
31,XTC,"Lukas Leon",150396,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL
32,"Bad Liar","Imagine Dragons",148581,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
33,"Loppuun Asti",Elastinen,147144,https://open.spotify.com/track/2DZEeHq94eVl4b2pkDuu5G
34,"Tule lähemmäs Beibi 2018 (feat. Jenni Vartiainen, Vesala & SANNI)","Kaija Koo",143453,https://open.spotify.com/track/2uH6hlfi6k8ZUU78bYm9D4
35,"Kiss and Make Up","Dua Lipa",142546,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
36,"Suojelusenkeli (feat. Petra)","Arttu Lindeman",141077,https://open.spotify.com/track/74ttBoVCAYbtaAyw8z1rst
37,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",138658,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
38,Shallow,"Lady Gaga",135461,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
39,"Lucid Dreams","Juice WRLD",135124,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
40,Joulumaa,"Katri Helena",131521,https://open.spotify.com/track/3QqsEc7mv1Kq9aWNpQgHsU
41,"when the party's over","Billie Eilish",130661,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
42,Lumi,Gasellit,130660,https://open.spotify.com/track/4rs41LGZD258N9nOf9a3rg
43,Jouluralli,"Eino ja Aapeli",130466,https://open.spotify.com/track/53gitrvBsyB7XjDpAHkoGa
44,imagine,"Ariana Grande",128907,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
45,"Lost Control","Alan Walker",126723,https://open.spotify.com/track/0lG6QM1jjbbX5UUn3DPmrZ
46,"Be Alright","Dean Lewis",123647,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
47,"Ota varovasti",Vesta,123485,https://open.spotify.com/track/46wULtWD6WHdbYNXk2KLMJ
48,"Hei mummo","Suvi Teräsniska",123327,https://open.spotify.com/track/1gWJ4zaBSkyICr7wTEygS9
49,"High Hopes","Panic! At The Disco",120298,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
50,"Have Yourself A Merry Little Christmas","Sam Smith",118733,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
51,"Vihasenakin Ihana",MEGA-Ertsi,115598,https://open.spotify.com/track/4JVYIxsNlmvIH0WyXhXqQW
