,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",50147,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",42752,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,"Falling Down - Bonus Track","Lil Peep",37976,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
4,"Lucky You (feat. Joyner Lucas)",Eminem,37907,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
5,"Promises (with Sam Smith)","Calvin Harris",33784,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,"In My Feelings",Drake,32655,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,"SICKO MODE","Travis Scott",32497,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",31244,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
9,Happier,Marshmello,30577,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Better,Khalid,28074,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
11,"In My Mind",Dynoro,26563,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
12,"Eastside (with Halsey & Khalid)","benny blanco",26132,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,"Electricity (with Dua Lipa)","Silk City",25822,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
14,Killshot,Eminem,25367,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
15,breathin,"Ariana Grande",25012,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
16,Natural,"Imagine Dragons",24604,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
17,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,24436,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
18,"Be Alright","Dean Lewis",23390,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
19,Nonstop,Drake,23231,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
20,"God is a woman","Ariana Grande",21816,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
21,"Wake Up in the Sky","Gucci Mane",20966,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
22,"Don't Cry (feat. XXXTENTACION)","Lil Wayne",20280,https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne
23,"Ksero Mana",Saske,20237,https://open.spotify.com/track/5HWolqY3ip2Bh7rS6UJ5c0
24,"No Stylist (feat. Drake)","French Montana",20036,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
25,Thunderclouds,Sia,19842,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
26,"no tears left to cry","Ariana Grande",19709,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
27,"I Like It","Cardi B",19597,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
28,Moonlight,XXXTENTACION,19355,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
29,SAD!,XXXTENTACION,18873,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
30,"Taste (feat. Offset)",Tyga,18069,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
31,"Mo Bamba","Sheck Wes",17891,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
32,"Lucid Dreams","Juice WRLD",17628,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
33,Noticed,"Lil Mosey",17365,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
