,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,100354,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"Falling Down - Bonus Track","Lil Peep",74798,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
3,"I Love It (& Lil Pump)","Kanye West",72254,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
4,Happier,Marshmello,66290,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
5,"Promises (with Sam Smith)","Calvin Harris",65622,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,Natural,"Imagine Dragons",64292,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",63283,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
8,"Solo (feat. Demi Lovato)","Clean Bandit",53736,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,"Lucky You (feat. Joyner Lucas)",Eminem,51513,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
10,Füttyös,Majka,49874,https://open.spotify.com/track/6bsERSsjVL4Cpt0e2t77Vx
11,"Nem Tudja Senki","Follow The Flow",49341,https://open.spotify.com/track/0XlgY6Jrh51dY2Bfepj9hK
12,"Eastside (with Halsey & Khalid)","benny blanco",48569,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,"Electricity (with Dua Lipa)","Silk City",45948,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
14,"Blah Blah Blah","Armin van Buuren",41810,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
15,"Be Alright","Dean Lewis",41588,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
16,Better,Khalid,40230,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
17,Nevermind,"Dennis Lloyd",38985,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
18,Thunderclouds,Sia,38731,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
19,"Say My Name","David Guetta",37515,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
20,"Maradok Távol","Follow The Flow",37197,https://open.spotify.com/track/6rp8bq0lhkIosumUPlTFfB
21,"Hol van az a lány","DR BRS",37159,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
22,REMEDY,Alesso,36675,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
23,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",35919,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
24,"Girls Like You (feat. Cardi B)","Maroon 5",35132,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
25,Rise,"Jonas Blue",34823,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
26,Killshot,Eminem,33861,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
27,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",33262,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
28,"Let You Love Me","Rita Ora",32072,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
29,Shallow,"Lady Gaga",31908,https://open.spotify.com/track/5lK18Pt33xNudq4qYDxIm8
30,RISE,"League of Legends",31903,https://open.spotify.com/track/69Sy7207dnixZ6w7RSV9Kb
31,Youngblood,"5 Seconds of Summer",31862,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
32,"In My Feelings",Drake,31768,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
33,"One Kiss (with Dua Lipa)","Calvin Harris",31227,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
34,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",30652,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
35,"Born To Be Yours",Kygo,30348,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
36,breathin,"Ariana Grande",29505,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
37,"Jackie Chan",Tiësto,29192,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
38,"Lucid Dreams","Juice WRLD",29088,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
39,"High On Life (feat. Bonn)","Martin Garrix",29085,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
40,"Wake Up in the Sky","Gucci Mane",28577,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
41,Believer,"Imagine Dragons",28548,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
42,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",27805,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
