,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sweet but Psycho","Ava Max",397153,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
2,"thank u, next","Ariana Grande",339297,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",288004,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,"Without Me",Halsey,283838,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
5,Wow.,"Post Malone",267513,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
6,Shallow,"Lady Gaga",239928,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
7,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",237774,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
8,"Ruin My Life","Zara Larsson",199384,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
9,"when the party's over","Billie Eilish",180323,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
10,Shotgun,"George Ezra",177520,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
11,imagine,"Ariana Grande",167946,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
12,"Eastside (with Halsey & Khalid)","benny blanco",165939,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
13,"SICKO MODE","Travis Scott",163934,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
14,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",161607,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
15,"Kiss and Make Up","Dua Lipa",153908,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
16,Happier,Marshmello,152474,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
17,"Saturday Nights",Khalid,151142,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
18,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",149539,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
19,"Woman Like Me (feat. Nicki Minaj)","Little Mix",147050,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
20,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",134097,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
