,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",36201,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Rockin' Around The Christmas Tree","Brenda Lee",35750,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
3,"Jingle Bell Rock","Bobby Helms",35061,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
4,"Last Christmas",Wham!,34106,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"Santa Tell Me","Ariana Grande",30404,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
6,"It's the Most Wonderful Time of the Year","Andy Williams",30280,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
7,"It's Beginning to Look a Lot like Christmas","Michael Bublé",29367,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
8,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",23469,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
9,"Do They Know It's Christmas? - 1984 Version","Band Aid",23266,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
10,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",22244,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
11,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",22210,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
12,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",20475,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
13,"thank u, next","Ariana Grande",20171,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
14,"Driving Home for Christmas","Chris Rea",19985,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
15,Shallow,"Lady Gaga",19540,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
16,"White Christmas","Bing Crosby",19140,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
17,"Have Yourself A Merry Little Christmas","Sam Smith",18711,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
18,Mistletoe,"Justin Bieber",18643,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
19,"Sleigh Ride","The Ronettes",18375,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ
20,"Without Me",Halsey,18254,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
21,"A Holly Jolly Christmas - Single Version","Burl Ives",18144,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
22,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",17967,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
23,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",17847,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
24,"The Christmas Song (Merry Christmas To You)","Nat King Cole",17827,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
25,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",17449,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
26,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",17208,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
27,"Underneath the Tree","Kelly Clarkson",16048,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
28,"Santa Claus Is Coming to Town","Michael Bublé",15922,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
29,"Holly Jolly Christmas","Michael Bublé",15775,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
30,"Christmas (Baby Please Come Home)","Mariah Carey",15066,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
