,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",26982,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Dance Monkey","Tones And I",23492,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Blinding Lights","The Weeknd",21650,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Life Is Good (feat. Drake)",Future,20269,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
5,"Godzilla (feat. Juice WRLD)",Eminem,18597,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
6,Falling,"Trevor Daniel",17123,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,ROXANNE,"Arizona Zervas",16180,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,"Kein Wort",Juju,14803,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
9,"Big Drip",Ufo361,14707,https://open.spotify.com/track/4qOesAYiMiMFiZrn2wfkl6
10,"Don't Start Now","Dua Lipa",14650,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,Yummy,"Justin Bieber",14130,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
12,Roller,"Apache 207",13064,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
13,Memories,"Maroon 5",12216,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
14,"Ne reviens pas",Gradur,12011,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
15,"everything i wanted","Billie Eilish",11591,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,"RITMO (Bad Boys For Life)","Black Eyed Peas",11440,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,Circles,"Post Malone",10983,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"Ride It",Regard,10426,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
19,"Lose You To Love Me","Selena Gomez",10060,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
20,Señorita,"Shawn Mendes",9584,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
21,"hot girl bummer",blackbear,9372,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
22,"Someone You Loved","Lewis Capaldi",9298,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"You should be sad",Halsey,9130,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
24,"Trampoline (with ZAYN)",SHAED,8684,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
25,"Before You Go","Lewis Capaldi",8574,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
26,"Lose Control",MEDUZA,8480,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
27,"Good News","Mac Miller",8343,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
28,"bad guy","Billie Eilish",8288,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
29,"Roses - Imanbek Remix","SAINt JHN",8274,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
30,Darkness,Eminem,8069,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
31,Suicidal,"YNW Melly",8063,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
32,Distant,Maes,8014,https://open.spotify.com/track/1Sb7QJRawbARgpMqyYNMkT
33,Rare,"Selena Gomez",7939,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
34,"Dans l'espace (feat. Heuss l'Enfoiré)",Gambi,7875,https://open.spotify.com/track/2KAkkba3PaYFegfmYpUITv
35,Blanche,Maes,7868,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
36,BOP,DaBaby,7848,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
37,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,7657,https://open.spotify.com/track/0GQ5bFTVFFKpwNPc7KwQnB
38,"HIGHEST IN THE ROOM","Travis Scott",7491,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
39,"What A Man Gotta Do","Jonas Brothers",7329,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
40,"Those Kinda Nights (feat. Ed Sheeran)",Eminem,7283,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
41,110,"Capital Bra",7180,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
42,"No Idea","Don Toliver",7178,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
43,"My Oh My (feat. DaBaby)","Camila Cabello",6872,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
44,"Adore You","Harry Styles",6841,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
45,"Beautiful People (feat. Khalid)","Ed Sheeran",6757,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
46,"Ayy Macarena",Tyga,6713,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
47,Tusa,"KAROL G",6680,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
48,"Unaccommodating (feat. Young M.A)",Eminem,6662,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM
49,Moulaga,"Heuss L'enfoiré",6644,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
50,"I Don't Care (with Justin Bieber)","Ed Sheeran",6352,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
51,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",6245,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
52,"Leaving Heaven (feat. Skylar Grey)",Eminem,6172,https://open.spotify.com/track/5CpsIb7SMFHjmAG8RvIWfq
53,"Lucid Dreams","Juice WRLD",5840,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
54,"200 km/h","Apache 207",5794,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
55,Baianá,Bakermat,5767,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
56,"If the World Was Ending - feat. Julia Michaels","JP Saxe",5767,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
57,SUGAR,BROCKHAMPTON,5727,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
58,Street,Maes,5637,https://open.spotify.com/track/7x3kHHEczVkeuuFkUKjUv7
59,"Black Swan",BTS,5484,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
60,"Premonition - Intro",Eminem,5479,https://open.spotify.com/track/7ccTcabbJlCJiIqtrSSwBk
61,Eleven,Khalid,5463,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
62,Dybala,Maes,5452,https://open.spotify.com/track/4Nfak8iMF4kQfQ6Pa8Z79m
63,"Watermelon Sugar","Harry Styles",5427,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,Lalala,Y2K,5291,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
65,"In Too Deep",Eminem,5285,https://open.spotify.com/track/7Dj2wqPYXfSRFwa6qyOztr
66,"Say So","Doja Cat",5200,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
67,"Futsal Shuffle 2020","Lil Uzi Vert",5182,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
68,2002,Sido,5073,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
69,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,5045,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
70,Shallow,"Lady Gaga",5037,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
71,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",4883,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
72,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",4881,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
73,"No Regrets (feat. Don Toliver)",Eminem,4873,https://open.spotify.com/track/1lO9CZo6eDrOy0S7khgryG
74,"MD (feat. Niska)",4Keus,4808,https://open.spotify.com/track/7HnZCmNXgva6N3kZiK0NTn
75,"Only Human","Jonas Brothers",4774,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
76,40%,"Aya Nakamura",4758,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
77,POPOPOP,Gambi,4752,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
78,"Ballin' (with Roddy Ricch)",Mustard,4737,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
79,"Never Seen the Rain","Tones And I",4730,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
80,Bruises,"Lewis Capaldi",4724,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
81,"Old Town Road - Remix","Lil Nas X",4624,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
82,Ransom,"Lil Tecca",4624,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
83,Reste,"Maître Gims",4551,https://open.spotify.com/track/3ebaeB2BdCEgZmwKv7p2r5
84,"Vermissen (feat. Henning May)",Juju,4502,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
85,"How Do You Sleep?","Sam Smith",4487,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
86,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",4481,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
87,Stepdad,Eminem,4457,https://open.spotify.com/track/3QVHSV8YKYq4L8tI5rnFgj
88,"Alone, Pt. II","Alan Walker",4417,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
89,Marsh,Eminem,4406,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
90,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,4403,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
