,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nie Ma Fal","Dawid Podsiadło",752265,https://open.spotify.com/track/1WjSgz6ntFIhRWJORVPbio
2,"In My Mind",Dynoro,382592,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,Początek,"Męskie Granie Orkiestra 2018",362480,https://open.spotify.com/track/6TfeSFGbqxGjIKuKLQOsKC
4,Bestia,"Young Igi",353041,https://open.spotify.com/track/4I0R7t0kvVTlqQGpDp0GXl
5,"Weź nie pytaj","Paweł Domagała",349887,https://open.spotify.com/track/4WgOhIHX0Ez6vJ7Efu9zbQ
6,"I Love It (& Lil Pump)","Kanye West",341454,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
7,Małomiasteczkowy,"Dawid Podsiadło",341339,https://open.spotify.com/track/4pzE97EZMDxnqO88y3YxAm
8,"Promises (with Sam Smith)","Calvin Harris",340494,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
9,Natural,"Imagine Dragons",313906,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
10,UFO,Szpaku,306866,https://open.spotify.com/track/0eKynckvs4ZzPQv77jtmAp
11,"Rozovoye Vino",Eldzhey,288336,https://open.spotify.com/track/4LDcQ9sLkKCie4XcKaEwJD
12,Shotgun,"George Ezra",284929,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
13,"Falling Down - Bonus Track","Lil Peep",280555,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
14,Fiji,"Taco Hemingway",268434,https://open.spotify.com/track/2CdCs9y04oDuYCF4ewNzI7
15,"Body (feat. brando)","Loud Luxury",260789,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
16,Happier,Marshmello,256365,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
17,California,"White 2115",250248,https://open.spotify.com/track/2nFaT0t36H6UX3wN3Vxvjm
18,Euforia,Otsochodzi,240375,https://open.spotify.com/track/7KMMRJ4dtn1rFXCXseKzYc
19,Wiking,Sarius,237444,https://open.spotify.com/track/1ef8jV2jElVL74JzBKo6K7
20,Nevermind,"Dennis Lloyd",231987,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
21,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",228640,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
22,Rise,"Jonas Blue",227944,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
23,Youngblood,"5 Seconds of Summer",216556,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
24,Thunderclouds,Sia,204736,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
25,Casablanca,BLACHA,201837,https://open.spotify.com/track/54NQP70Bn4nAspwZODu732
26,"Sorry Dolores",Reto,199834,https://open.spotify.com/track/0yd4OCmrcqvsAMUJGCMEFQ
27,Darkside,"Alan Walker",196668,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
28,"Be Alright","Dean Lewis",195311,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
29,"One Last Time (feat. Jesper Jenset)",Gromee,192436,https://open.spotify.com/track/2fsUx17P1kqo8s5LZKO8oh
30,"Solo (feat. Demi Lovato)","Clean Bandit",184918,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
31,Placebo,"Adi Nowak",184043,https://open.spotify.com/track/1foe24TCvC8oJQysWyPI39
32,Outside,Kartky,181238,https://open.spotify.com/track/4SDdeq8HUaKPUGiE4WMASH
33,"Without Me",Halsey,181199,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
34,"King Of The Jungle",Shanguy,180952,https://open.spotify.com/track/4wgiUYmfM37dcGhBwy0KZh
35,"Eastside (with Halsey & Khalid)","benny blanco",176021,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
36,"Dobry chłopak",Sarius,171124,https://open.spotify.com/track/1vY066qHEkkbd5WLb5XlxR
37,SAD!,XXXTENTACION,166438,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
38,Morph,"Twenty One Pilots",165178,https://open.spotify.com/track/01vv2AjxgP4uUyb8waYO5Y
39,"Electricity (with Dua Lipa)","Silk City",162693,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
40,"Przestań się bać",Bialas,158543,https://open.spotify.com/track/65Jw5ZI5kaZGEWekWhThHD
41,"Ignite (feat. SEUNGRI)",K-391,156479,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
42,"One Kiss (with Dua Lipa)","Calvin Harris",155966,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
43,UA,Reto,153382,https://open.spotify.com/track/3Vmq9lE9ayaO1wpcdxjn7c
44,"Girls Like You (feat. Cardi B)","Maroon 5",151842,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
45,"Nowi kumple","White 2115",147716,https://open.spotify.com/track/46t09omtp47vgFvPmX6kV2
46,"Jackie Chan",Tiësto,147632,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
