,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",187283,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,174721,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
3,"Devia Ir","Wet Bed Gang",170600,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",168732,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,Cafeína,"Dj Dadda",156498,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
6,Shallow,"Lady Gaga",149936,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
7,"MIA (feat. Drake)","Bad Bunny",148353,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
8,"Without Me",Halsey,132239,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,Happier,Marshmello,130092,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Better,Khalid,125282,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
11,"Teu Eternamente","Slow J",121879,https://open.spotify.com/track/5nXOacZiLz7b5Nds2Ouq9h
12,Sauce,Sippinpurpp,121672,https://open.spotify.com/track/4v5cpw1zIlqShprCCgL5UL
13,"O Bebê","MC Kevinho",115511,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
14,"Água de Coco (Prod. Lhast)",ProfJam,111566,https://open.spotify.com/track/4VXadgWrXnmHsWknVD2vgJ
15,"Te Boté - Remix","Nio Garcia",107781,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
16,Natural,"Imagine Dragons",102949,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
17,Miúda,"Holly Hood",97965,https://open.spotify.com/track/1DHQcaZMENKPt8KBQgIr25
18,Moonlight,XXXTENTACION,96275,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
19,"Lucid Dreams","Juice WRLD",91924,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
20,SAD!,XXXTENTACION,90969,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"All I Want for Christmas Is You","Mariah Carey",90924,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
22,"Eastside (with Halsey & Khalid)","benny blanco",90918,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
23,"Sou Favela","MC Bruninho",89964,https://open.spotify.com/track/4r0K5FOCCyuAEb6BsR2ziw
24,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",87988,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
25,"NÓS2 (feat. Deezy)",Bispo,87424,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
26,BAD!,XXXTENTACION,87397,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
27,"Better Now","Post Malone",85806,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
28,Youngblood,"5 Seconds of Summer",84180,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
29,"Amor de Verdade","MC Kekel",83627,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
30,"In My Mind",Dynoro,80758,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
31,"Love Someone","Lukas Graham",79995,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
32,"SICKO MODE","Travis Scott",78539,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,"Agora é Tudo Meu","Dennis DJ",76407,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
34,"Mafiosa (feat. Caroliina)",Lartiste,75949,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
35,"Bad Liar","Imagine Dragons",72482,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
