,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",77019,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
2,Lalala,Y2K,68948,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
3,Señorita,"Shawn Mendes",65246,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,Ransom,"Lil Tecca",63194,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
5,"Strazile din Bucuresti","Florian Rus",53125,https://open.spotify.com/track/1tDk0Jot1RkxsPTPXaNM7k
6,"bad guy","Billie Eilish",51326,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
7,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",48999,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
8,Circles,"Post Malone",46397,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",44731,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
10,Saint-Tropez,"Post Malone",43879,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
11,"Goodbyes (Feat. Young Thug)","Post Malone",43145,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
12,"Someone You Loved","Lewis Capaldi",41807,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,"Dance Monkey","Tones And I",41637,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Beautiful People (feat. Khalid)","Ed Sheeran",40247,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,"Hollywood's Bleeding","Post Malone",40115,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
16,"How Do You Sleep?","Sam Smith",38383,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
17,"I Don't Care (with Justin Bieber)","Ed Sheeran",38052,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
18,Liar,"Camila Cabello",36594,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
19,Panini,"Lil Nas X",35956,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
20,"Die For Me (feat. Future & Halsey)","Post Malone",35295,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
21,Graveyard,Halsey,34434,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
22,"Old Town Road - Remix","Lil Nas X",33063,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
23,"60 De Zile",Ian,32764,https://open.spotify.com/track/5ymFsfuMVDuG43ksIqCohv
24,"Let Me Down Slowly","Alec Benjamin",31068,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
25,"Enemies (feat. DaBaby)","Post Malone",30897,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
26,"Piece Of Your Heart",MEDUZA,29575,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
27,"boyfriend (with Social House)","Ariana Grande",29543,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
28,"7 rings","Ariana Grande",29263,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
29,"It's You","Ali Gatie",29152,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
30,"Bag Un Blunt",Ian,28464,https://open.spotify.com/track/1nGnZ1SNJHg0qmCKZLiCgi
31,Wow.,"Post Malone",28139,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",27629,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,Teeth,"5 Seconds of Summer",27285,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
34,"The London (feat. J. Cole & Travis Scott)","Young Thug",26802,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
35,"Money In The Grave (Drake ft. Rick Ross)",Drake,26293,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
36,"Look Back at It","A Boogie Wit da Hoodie",26039,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
37,"Takeaway (feat. Lennon Stella)","The Chainsmokers",25993,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
38,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",25849,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
39,Nefiu,Ian,25701,https://open.spotify.com/track/1QVYDQmJSBpQ1vnO5euZMk
40,"all the good girls go to hell","Billie Eilish",25038,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
41,"lovely (with Khalid)","Billie Eilish",24584,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
42,"Without Me",Halsey,24539,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
43,"SICKO MODE","Travis Scott",24202,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
44,Zemër,Soolking,23651,https://open.spotify.com/track/68av1mZz0VsIYXJWATZWUW
45,$cuze,Abi,23530,https://open.spotify.com/track/7eN6vl9C2P7O1BYSTrUScI
46,Shameless,"Camila Cabello",23105,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
47,"Slide Away","Miley Cyrus",22997,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
48,"fuck, i'm lonely",Lauv,22982,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
49,Sucker,"Jonas Brothers",22735,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
50,goosebumps,"Travis Scott",22150,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
51,Youngblood,"5 Seconds of Summer",20502,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
52,Bambolina,"Killa Fonic",19848,https://open.spotify.com/track/3sAnuEMv1wpSPGwiQZuhSP
53,"No Guidance (feat. Drake)","Chris Brown",19673,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
54,Salcamii,Spike,18495,https://open.spotify.com/track/0d6cmK1zLklHLxT1JTqq57
55,"Higher Love",Kygo,18128,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
56,"hot girl bummer",blackbear,18105,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"Don't Call Me Up",Mabel,17978,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
58,"Truth Hurts",Lizzo,17666,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
59,POEM,"The Motans",17648,https://open.spotify.com/track/7nY4dQPdqg5apceI2xnJRt
60,"Eastside (with Halsey & Khalid)","benny blanco",17641,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
61,"If I Can't Have You","Shawn Mendes",17561,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
62,Nimeni,"Killa Fonic",17289,https://open.spotify.com/track/7pZCJUBqqzJh0nQXgvBDXw
63,"when the party's over","Billie Eilish",17166,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
64,"bury a friend","Billie Eilish",16959,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
65,Antimilitie,Parazitii,16924,https://open.spotify.com/track/0B9AFbKjQvLy0xUFWwakNr
66,B.M.V.,Nane,16911,https://open.spotify.com/track/0YF7NWEb8CTZQFXCIL2Ztq
67,Motivation,Normani,16614,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
68,"rockstar (feat. 21 Savage)","Post Malone",16574,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
69,"BUTTERFLY EFFECT","Travis Scott",16303,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
70,"Hot (feat. Gunna)","Young Thug",16074,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
71,Moonlight,XXXTENTACION,16048,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
72,Happier,Marshmello,16043,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
73,SAD!,XXXTENTACION,15997,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
74,"Taste (feat. Offset)",Tyga,15565,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
75,"Babushka Boi","A$AP Rocky",15545,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
76,"Old Town Road","Lil Nas X",15304,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
77,"Antisocial (with Travis Scott)","Ed Sheeran",15154,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
78,"A Thousand Bad Times","Post Malone",15137,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
79,Camelot,"NLE Choppa",15128,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
80,Shoturi,"Lino Golden",15078,https://open.spotify.com/track/4cet1h6g3gmjvd0kloLWp1
81,China,"Anuel AA",15028,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
