,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",1315170,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,Shallow,"Lady Gaga",1304454,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,"Last Christmas",Wham!,1161480,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,"Santa Tell Me","Ariana Grande",942101,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
5,"thank u, next","Ariana Grande",928218,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"Sverige Vet",Z.E,895983,https://open.spotify.com/track/3ZHnfKXAjulpLqKJfT7DEC
7,"Sweet but Psycho","Ava Max",858465,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
8,"Tänd ett ljus",Triad,849954,https://open.spotify.com/track/0WeT9UnF79pGH5ohYHsnD9
9,Mistletoe,"Justin Bieber",844952,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
10,"It's Beginning to Look a Lot like Christmas","Michael Bublé",809818,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
11,"Do They Know It's Christmas? - 1984 Version","Band Aid",792339,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
12,"Happy Now",Kygo,738196,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
13,"Jingle Bell Rock","Bobby Helms",737763,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
14,"Love Someone","Lukas Graham",720247,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
15,"Mer jul","Adolphson & Falk",707147,https://open.spotify.com/track/6UbwfQeAEzhnolDwXiPowY
16,"Forgive Me Friend","Smith & Thell",686357,https://open.spotify.com/track/7mJKfgBVhd5lB3jweVwVQS
17,"Be Alright","Dean Lewis",651764,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
18,"when the party's over","Billie Eilish",647358,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
19,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",644344,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
20,"Vänta tills våren","Håkan Hellström",641697,https://open.spotify.com/track/3iamODg6JJkhG8iCME2CWG
21,Tappat,"Victor Leksell",630223,https://open.spotify.com/track/2jPCvYRyIXQf2if8CTyabC
22,"Julen är här","Tommy Körberg",623686,https://open.spotify.com/track/4cGPWeCfoQTw7i0wqNRcjI
23,"Feliz Navidad","José Feliciano",620237,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
24,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",619017,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
25,"Ruin My Life","Zara Larsson",607933,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
26,"White Christmas","Bing Crosby",606375,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
27,"Rockin' Around The Christmas Tree","Brenda Lee",585750,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
28,KIKA,6ix9ine,573490,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
