,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shallow,"Lady Gaga",37623,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
2,"thank u, next","Ariana Grande",29512,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"Bad Liar","Imagine Dragons",29063,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
4,"In My Mind",Dynoro,26934,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
5,"Without Me",Halsey,26350,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"Bohemian Rhapsody - 2011 Mix",Queen,25292,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
7,Natural,"Imagine Dragons",24598,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",23487,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",22865,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
10,"come out and play","Billie Eilish",22401,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
11,"when the party's over","Billie Eilish",22304,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
12,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,20816,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
13,"Happy Now",Kygo,20499,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
14,"Let You Love Me","Rita Ora",19681,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
15,Happier,Marshmello,19106,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,"Naháňame šťastie",Nerieš,18703,https://open.spotify.com/track/6zgLem6JNcBrSfsSyOmc0O
17,"Woman Like Me (feat. Nicki Minaj)","Little Mix",18696,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
18,"SICKO MODE","Travis Scott",18533,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
19,"All I Want for Christmas Is You","Mariah Carey",18379,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
20,"Another One Bites The Dust - Remastered 2011",Queen,18098,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
21,"Falling Down - Bonus Track","Lil Peep",18037,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
22,"Always Remember Us This Way","Lady Gaga",17418,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
23,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",16582,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
24,"Kiss and Make Up","Dua Lipa",16576,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
25,"Ruin My Life","Zara Larsson",16519,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
26,Better,Khalid,16473,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
27,"Jelly Belly",Dalyb,16335,https://open.spotify.com/track/6otO5cqHZwSLEJUVAPIjV2
