,country,date,stringency
0,NLD,2020-01-01,0.0
1,ROU,2020-01-01,0.0
2,SWE,2020-01-01,0.0
3,AUT,2020-01-01,0.0
4,BEL,2020-01-01,0.0
5,CZE,2020-01-01,0.0
6,DEU,2020-01-01,0.0
7,DNK,2020-01-01,0.0
8,ESP,2020-01-01,0.0
9,EST,2020-01-01,0.0
10,FIN,2020-01-01,0.0
11,BGR,2020-01-01,0.0
12,CYP,2020-01-01,0.0
13,HUN,2020-01-01,0.0
14,LVA,2020-01-01,0.0
15,POL,2020-01-01,0.0
16,PRT,2020-01-01,0.0
17,SVK,2020-01-01,0.0
18,SVN,2020-01-01,0.0
19,FRA,2020-01-01,0.0
20,GBR,2020-01-01,0.0
21,GRC,2020-01-01,0.0
22,HRV,2020-01-01,0.0
23,IRL,2020-01-01,0.0
24,ITA,2020-01-01,0.0
25,LTU,2020-01-01,0.0
26,LUX,2020-01-01,0.0
27,SWE,2020-01-02,0.0
28,ROU,2020-01-02,0.0
29,NLD,2020-01-02,0.0
30,FIN,2020-01-02,0.0
31,EST,2020-01-02,0.0
32,ESP,2020-01-02,0.0
33,DNK,2020-01-02,0.0
34,DEU,2020-01-02,0.0
35,CZE,2020-01-02,0.0
36,BEL,2020-01-02,0.0
37,AUT,2020-01-02,0.0
38,SVN,2020-01-02,0.0
39,SVK,2020-01-02,0.0
40,PRT,2020-01-02,0.0
41,POL,2020-01-02,0.0
42,LVA,2020-01-02,0.0
43,HUN,2020-01-02,0.0
44,CYP,2020-01-02,0.0
45,BGR,2020-01-02,0.0
46,LUX,2020-01-02,0.0
47,LTU,2020-01-02,0.0
48,ITA,2020-01-02,0.0
49,IRL,2020-01-02,0.0
50,HRV,2020-01-02,0.0
51,GRC,2020-01-02,0.0
52,GBR,2020-01-02,0.0
53,FRA,2020-01-02,0.0
54,NLD,2020-01-03,0.0
55,ROU,2020-01-03,0.0
56,SWE,2020-01-03,0.0
57,AUT,2020-01-03,0.0
58,BEL,2020-01-03,0.0
59,CZE,2020-01-03,0.0
60,DEU,2020-01-03,0.0
61,DNK,2020-01-03,0.0
62,ESP,2020-01-03,0.0
63,EST,2020-01-03,0.0
64,FIN,2020-01-03,0.0
