,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams,streams
country,AUT,BEL,BGR,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IRL,ITA,LTU,LUX,LVA,NLD,POL,PRT,ROU,SVK,SWE
date,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-24,10301612,12348795,985485,328417,4869155,142899503,24716696,98020022,1438969,21122683,78626728,131130736,2373075,3747850,14368180,90166128,1420563,736943,1507392,67114943,25430818,8730023,1958986,1745234,51913587
2018-08-31,9508616,12634840,1136095,384379,5207132,148764686,25975199,98106210,1498797,21368063,82973112,148326045,2725790,4059240,14879909,91402156,1465384,796085,1629058,75928950,24843040,9444484,2391996,2024877,55020209
2018-09-07,9717264,12538824,1043073,340697,5010547,142763299,26251701,93060881,1435962,21121857,82714252,140210925,2463482,4049810,15400842,94729362,1428749,775400,1602453,80271104,24352976,9183448,2108987,1975851,52755183
2018-09-14,9794815,12994948,1011482,365756,5432395,151528074,26286642,92130930,1402195,21057084,86638958,138063425,2332767,4126421,14926427,101696079,1434227,800165,1603317,79581894,24416983,9055023,2152635,1982482,53277596
2018-09-21,9570905,12930082,971304,358192,5362867,148899467,25622860,92773802,1377288,20912984,96759887,135446489,2275552,4081063,14631872,100314585,1381935,812493,1558056,78606490,24437330,9494344,2138312,1969050,52795704
2018-09-28,9741243,12919827,1004228,365833,5059531,156503492,28144164,94928914,1326548,20787165,102755118,135256479,2315915,4060245,14455982,102621346,1378941,855043,1540181,76510964,23881857,10002400,2215470,1951417,54464537
2018-10-05,11317627,13756429,1047222,371425,5441911,166393499,27179092,94887484,1371115,20390336,105625811,139324455,2388032,4262727,14680505,100232938,1412854,908707,1578153,79284191,25204285,9914444,2251314,2071818,53996778
2018-10-12,9998850,13471044,1066534,373027,5323168,154019991,25750146,93552611,1356665,20973096,89053192,141483579,2415329,4195456,15206206,105527850,1373358,862677,1513240,76310175,24875221,10241815,2292088,2038913,54774189
2018-10-19,10057269,13294785,1029117,383661,5428466,148532658,25038850,95676802,1365602,20110109,95613027,140778261,2379986,4005850,15682606,97516621,1368318,831738,1507267,76523583,31389917,10203538,2317869,2092885,56138725
2018-10-26,9846497,13294813,1020549,368108,5348163,154163801,27242395,94633900,1285596,20053124,84712211,135654189,2316576,4169326,15690370,97484274,1380087,808415,1440885,77413304,28751624,9675705,2379017,2056720,56373467
2018-11-02,9638980,12665985,1174499,378851,5347260,150974573,25995443,100204143,1335827,19463810,93870088,138064107,2384511,4020122,15360934,96043323,1376464,787339,1470718,80558675,26667816,9739702,2398958,2000463,54074514
2018-11-09,9628320,13243017,1165889,391281,5964024,148265873,25420664,101193506,1425251,19143880,88323177,140942534,2369043,4401274,15845491,128006607,1474008,825752,1571213,79742915,26090902,10303966,2468372,2264360,55303096
2018-11-16,9380953,13165557,1086499,370736,5503013,144246440,25402528,99137690,1494739,18461104,90556648,138413007,2317031,4101903,15262562,107749145,1450165,801757,1410150,77108018,24403341,10074502,2438783,2175521,53948805
2018-11-23,10102794,13352157,1069337,388516,5440273,156698199,27065185,97654340,1388958,18043342,84848074,138091689,2441265,4095576,15299357,107438668,1423023,843993,1459286,87393364,24912577,9687830,2520852,2113026,57086019
2018-11-30,10746053,13829319,1127268,415082,6561685,160377434,34143986,106076134,1434774,19019533,86380389,164828686,2622157,4453775,16930568,114594619,1573610,862052,1566746,83364920,28481001,10150510,2539909,2457426,64297255
2018-12-07,10596424,14881964,1130160,428955,6082709,153597134,30656038,96575119,1476184,17854648,96391995,167878544,2591535,4533395,17793206,107163031,1578519,850028,1639380,81486403,30238727,10081106,2786386,2473577,60456769
2018-12-14,11294394,14105844,1129477,439284,6425430,162818063,30475531,99101028,1493275,19241871,83801348,173656604,2637884,5138617,18179215,102908945,1637442,897860,1702020,82368944,32582096,10252836,2875280,2818930,65294577
2018-12-21,14342847,18437760,1172134,502108,6647058,213622305,35084620,99399214,1637981,21085067,85287104,219737110,2991983,7041123,21155160,102335520,1925106,1187170,2069663,94188725,34175505,9912639,3041112,2930357,79347944
