,date,streams,stringency
0,2018-08-24,10301612,
1,2018-08-31,9508616,
2,2018-09-07,9717264,
3,2018-09-14,9794815,
4,2018-09-21,9570905,
5,2018-09-28,9741243,
6,2018-10-05,11317627,
7,2018-10-12,9998850,
8,2018-10-19,10057269,
9,2018-10-26,9846497,
10,2018-11-02,9638980,
11,2018-11-09,9628320,
12,2018-11-16,9380953,
13,2018-11-23,10102794,
14,2018-11-30,10746053,
15,2018-12-07,10596424,
16,2018-12-14,11294394,
17,2018-12-21,14342847,
18,2018-12-28,9574230,
19,2019-01-04,9057979,
20,2019-01-11,10170396,
21,2019-01-18,10749930,
22,2019-01-25,10798440,
23,2019-02-01,10637967,
24,2019-02-08,11200584,
25,2019-02-15,10939286,
26,2019-02-22,10883893,
27,2019-03-01,10661085,
28,2019-03-08,11389684,
29,2019-03-15,12809950,
30,2019-03-22,12817034,
31,2019-03-29,12662184,
32,2019-04-05,11866406,
33,2019-04-12,12980101,
34,2019-04-19,11340264,
35,2019-04-26,10994629,
36,2019-05-03,10664408,
37,2019-05-10,11267510,
38,2019-05-17,12097847,
39,2019-05-24,12037108,
40,2019-05-31,11717462,
41,2019-06-07,12223289,
42,2019-06-14,12307035,
43,2019-06-21,13007357,
44,2019-06-28,13197712,
45,2019-07-05,12138870,
46,2019-07-12,12810616,
47,2019-07-19,11911502,
48,2019-07-26,11386518,
49,2019-08-02,11113396,
50,2019-08-09,11366022,
51,2019-08-16,10556102,
52,2019-08-23,11055538,
53,2019-08-30,11596960,
54,2019-09-06,11847337,
55,2019-09-13,11883708,
56,2019-09-20,12682566,
57,2019-09-27,12595810,
58,2019-10-04,13041067,
59,2019-10-11,12522166,
60,2019-10-18,12258143,
61,2019-10-25,12786109,
62,2019-11-01,12826726,
63,2019-11-08,12336914,
64,2019-11-15,11811446,
65,2019-11-22,11501670,
66,2019-11-29,13306327,
67,2019-12-06,14117251,
68,2019-12-13,13942956,
69,2019-12-20,17611730,
70,2019-12-27,11000204,
71,2020-01-03,10955668,0.0
72,2020-01-10,12953412,0.0
73,2020-01-17,13000131,0.0
74,2020-01-24,12585365,0.0
75,2020-01-31,12360964,0.0
76,2020-02-07,12320194,0.0
77,2020-02-14,12919455,0.0
78,2020-02-21,12034104,0.0
79,2020-02-28,12305968,11.1
80,2020-03-06,12099274,11.1
81,2020-03-13,11674158,35.5
82,2020-03-20,10879184,85.2
83,2020-03-27,11384256,85.2
84,2020-04-03,10896132,85.2
85,2020-04-10,10813674,85.2
86,2020-04-17,11252195,82.0
87,2020-04-24,11759700,79.9
88,2020-05-01,11523061,74.7
89,2020-05-08,11729485,64.8
90,2020-05-15,11661831,59.3
91,2020-05-22,11505902,55.6
92,2020-05-29,12301924,53.2
93,2020-06-05,12134109,45.8
94,2020-06-12,11518017,43.5
95,2020-06-19,11954867,43.5
96,2020-06-26,12152188,43.5
97,2020-07-03,12683870,43.5
98,2020-07-10,12567792,38.4
99,2020-07-17,12421511,31.5
100,2020-07-24,13113467,31.5
101,2020-07-31,12969684,31.5
102,2020-08-07,12687619,31.5
103,2020-08-14,12145822,31.5
