,date,streams,stringency
0,2018-08-24,12348795,
1,2018-08-31,12634840,
2,2018-09-07,12538824,
3,2018-09-14,12994948,
4,2018-09-21,12930082,
5,2018-09-28,12919827,
6,2018-10-05,13756429,
7,2018-10-12,13471044,
8,2018-10-19,13294785,
9,2018-10-26,13294813,
10,2018-11-02,12665985,
11,2018-11-09,13243017,
12,2018-11-16,13165557,
13,2018-11-23,13352157,
14,2018-11-30,13829319,
15,2018-12-07,14881964,
16,2018-12-14,14105844,
17,2018-12-21,18437760,
18,2018-12-28,13032304,
19,2019-01-04,12340388,
20,2019-01-11,13062229,
21,2019-01-18,13397179,
22,2019-01-25,13559500,
23,2019-02-01,13671960,
24,2019-02-08,14647664,
25,2019-02-15,14201317,
26,2019-02-22,14552920,
27,2019-03-01,14588976,
28,2019-03-08,14463971,
29,2019-03-15,14552606,
30,2019-03-22,16220170,
31,2019-03-29,16243667,
32,2019-04-05,17229714,
33,2019-04-12,16934220,
34,2019-04-19,16114965,
35,2019-04-26,15127885,
36,2019-05-03,15046873,
37,2019-05-10,15706744,
38,2019-05-17,16354967,
39,2019-05-24,16454163,
40,2019-05-31,16150120,
41,2019-06-07,17460079,
42,2019-06-14,16433471,
43,2019-06-21,16726568,
44,2019-06-28,16458816,
45,2019-07-05,16036696,
46,2019-07-12,16210516,
47,2019-07-19,15762057,
48,2019-07-26,15240410,
49,2019-08-02,15707830,
50,2019-08-09,15267432,
51,2019-08-16,15253189,
52,2019-08-23,15656959,
53,2019-08-30,14945994,
54,2019-09-06,16004889,
55,2019-09-13,16129635,
56,2019-09-20,15603250,
57,2019-09-27,15542142,
58,2019-10-04,16442322,
59,2019-10-11,17129141,
60,2019-10-18,16297992,
61,2019-10-25,17794404,
62,2019-11-01,15851111,
63,2019-11-08,16860282,
64,2019-11-15,16570404,
65,2019-11-22,16643393,
66,2019-11-29,17310829,
67,2019-12-06,18795858,
68,2019-12-13,18217700,
69,2019-12-20,23197681,
70,2019-12-27,17325455,
71,2020-01-03,16403987,0.0
72,2020-01-10,17896938,0.0
73,2020-01-17,19935587,0.0
74,2020-01-24,19038269,0.0
75,2020-01-31,18595899,7.2
76,2020-02-07,18681628,11.1
77,2020-02-14,18768106,11.1
78,2020-02-21,19071405,11.1
79,2020-02-28,18252363,11.1
80,2020-03-06,19086262,13.1
81,2020-03-13,19384596,28.2
82,2020-03-20,19511197,70.4
83,2020-03-27,18786155,81.5
84,2020-04-03,20183164,81.5
85,2020-04-10,18888087,81.5
86,2020-04-17,18292355,81.5
87,2020-04-24,18006621,81.5
88,2020-05-01,17545009,81.5
89,2020-05-08,17772962,79.1
90,2020-05-15,19235655,75.0
91,2020-05-22,17634481,75.0
92,2020-05-29,18650545,75.0
93,2020-06-05,16968421,74.2
94,2020-06-12,17732313,51.8
95,2020-06-19,18251416,51.8
96,2020-06-26,17336460,51.8
97,2020-07-03,17966120,49.2
98,2020-07-10,18980374,48.2
99,2020-07-17,18756779,48.2
100,2020-07-24,17877532,48.2
101,2020-07-31,18737612,57.8
102,2020-08-07,18352306,60.3
103,2020-08-14,17885290,58.4
