,date,streams,stringency
0,2018-08-24,985485,
1,2018-08-31,1136095,
2,2018-09-07,1043073,
3,2018-09-14,1011482,
4,2018-09-21,971304,
5,2018-09-28,1004228,
6,2018-10-05,1047222,
7,2018-10-12,1066534,
8,2018-10-19,1029117,
9,2018-10-26,1020549,
10,2018-11-02,1174499,
11,2018-11-09,1165889,
12,2018-11-16,1086499,
13,2018-11-23,1069337,
14,2018-11-30,1127268,
15,2018-12-07,1130160,
16,2018-12-14,1129477,
17,2018-12-21,1172134,
18,2018-12-28,970751,
19,2019-01-04,1063868,
20,2019-01-11,1143608,
21,2019-01-18,1255122,
22,2019-01-25,1245344,
23,2019-02-01,1241714,
24,2019-02-08,1480042,
25,2019-02-15,1323200,
26,2019-02-22,1280244,
27,2019-03-01,1237747,
28,2019-03-08,1255430,
29,2019-03-15,1208391,
30,2019-03-22,1181168,
31,2019-03-29,1352559,
32,2019-04-05,1215460,
33,2019-04-12,1273306,
34,2019-04-19,1218149,
35,2019-04-26,1108931,
36,2019-05-03,1124859,
37,2019-05-10,1152359,
38,2019-05-17,1592004,
39,2019-05-24,1420822,
40,2019-05-31,1401657,
41,2019-06-07,1367423,
42,2019-06-14,1428548,
43,2019-06-21,1457658,
44,2019-06-28,1461066,
45,2019-07-05,1414319,
46,2019-07-12,1507670,
47,2019-07-19,1401785,
48,2019-07-26,1360235,
49,2019-08-02,1335618,
50,2019-08-09,1300626,
51,2019-08-16,1282328,
52,2019-08-23,1248069,
53,2019-08-30,1300929,
54,2019-09-06,1365491,
55,2019-09-13,1411511,
56,2019-09-20,1265201,
57,2019-09-27,1278729,
58,2019-10-04,1348099,
59,2019-10-11,1358710,
60,2019-10-18,1369532,
61,2019-10-25,1462539,
62,2019-11-01,1341236,
63,2019-11-08,1327502,
64,2019-11-15,1357160,
65,2019-11-22,1343779,
66,2019-11-29,1464021,
67,2019-12-06,1681122,
68,2019-12-13,1622828,
69,2019-12-20,1593081,
70,2019-12-27,1400429,
71,2020-01-03,1479808,0.0
72,2020-01-10,1704101,0.0
73,2020-01-17,1862813,0.0
74,2020-01-24,1690934,0.0
75,2020-01-31,1597366,0.0
76,2020-02-07,1696492,2.8
77,2020-02-14,1661306,7.5
78,2020-02-21,1736267,8.3
79,2020-02-28,1577986,13.9
80,2020-03-06,1570951,18.1
81,2020-03-13,1375241,35.6
82,2020-03-20,1563609,66.4
83,2020-03-27,1518409,73.2
84,2020-04-03,1471253,71.8
85,2020-04-10,1483128,71.3
86,2020-04-17,1369901,72.7
87,2020-04-24,1504253,73.2
88,2020-05-01,1454905,73.2
89,2020-05-08,1506582,64.4
90,2020-05-15,1508144,61.8
91,2020-05-22,1559898,59.7
92,2020-05-29,1554779,54.0
93,2020-06-05,1526311,44.4
94,2020-06-12,1563774,40.5
95,2020-06-19,1555238,37.7
96,2020-06-26,1559921,36.1
97,2020-07-03,1621042,36.1
98,2020-07-10,1644876,42.0
99,2020-07-17,1652278,31.4
100,2020-07-24,1655013,27.8
101,2020-07-31,1623495,31.8
102,2020-08-07,1640165,31.0
103,2020-08-14,1652316,30.6
