,date,streams,stringency
0,2018-08-24,328417,
1,2018-08-31,384379,
2,2018-09-07,340697,
3,2018-09-14,365756,
4,2018-09-21,358192,
5,2018-09-28,365833,
6,2018-10-05,371425,
7,2018-10-12,373027,
8,2018-10-19,383661,
9,2018-10-26,368108,
10,2018-11-02,378851,
11,2018-11-09,391281,
12,2018-11-16,370736,
13,2018-11-23,388516,
14,2018-11-30,415082,
15,2018-12-07,428955,
16,2018-12-14,439284,
17,2018-12-21,502108,
18,2018-12-28,348862,
19,2019-01-04,364076,
20,2019-01-11,405871,
21,2019-01-18,438520,
22,2019-01-25,442771,
23,2019-02-01,449999,
24,2019-02-08,481718,
25,2019-02-15,454860,
26,2019-02-22,440938,
27,2019-03-01,447332,
28,2019-03-08,444600,
29,2019-03-15,439155,
30,2019-03-22,415519,
31,2019-03-29,460827,
32,2019-04-05,448648,
33,2019-04-12,462631,
34,2019-04-19,475127,
35,2019-04-26,426376,
36,2019-05-03,446941,
37,2019-05-10,458247,
38,2019-05-17,509525,
39,2019-05-24,495842,
40,2019-05-31,484885,
41,2019-06-07,489018,
42,2019-06-14,547818,
43,2019-06-21,576331,
44,2019-06-28,580189,
45,2019-07-05,573992,
46,2019-07-12,598238,
47,2019-07-19,586469,
48,2019-07-26,574865,
49,2019-08-02,592200,
50,2019-08-09,541636,
51,2019-08-16,517944,
52,2019-08-23,521480,
53,2019-08-30,544765,
54,2019-09-06,545836,
55,2019-09-13,561542,
56,2019-09-20,530914,
57,2019-09-27,519323,
58,2019-10-04,530329,
59,2019-10-11,542952,
60,2019-10-18,540110,
61,2019-10-25,542646,
62,2019-11-01,526134,
63,2019-11-08,510373,
64,2019-11-15,516968,
65,2019-11-22,511726,
66,2019-11-29,533285,
67,2019-12-06,567055,
68,2019-12-13,586904,
69,2019-12-20,659413,
70,2019-12-27,520218,
71,2020-01-03,512620,0.0
72,2020-01-10,572913,0.0
73,2020-01-17,612154,0.0
74,2020-01-24,583609,0.0
75,2020-01-31,576107,0.0
76,2020-02-07,572206,0.0
77,2020-02-14,587568,0.0
78,2020-02-21,589838,0.0
79,2020-02-28,566585,0.0
80,2020-03-06,581890,6.3
81,2020-03-13,560131,28.6
82,2020-03-20,565282,51.8
83,2020-03-27,553109,88.4
84,2020-04-03,550576,92.6
85,2020-04-10,567340,92.6
86,2020-04-17,547000,93.6
87,2020-04-24,594580,94.4
88,2020-05-01,579627,94.4
89,2020-05-08,611569,92.6
90,2020-05-15,605248,92.6
91,2020-05-22,725605,83.6
92,2020-05-29,642985,76.8
93,2020-06-05,631396,76.8
94,2020-06-12,643538,64.2
95,2020-06-19,638400,63.0
96,2020-06-26,653477,51.7
97,2020-07-03,656854,47.2
98,2020-07-10,667919,47.2
99,2020-07-17,672939,47.2
100,2020-07-24,653948,47.2
101,2020-07-31,648896,47.2
102,2020-08-07,661870,47.2
103,2020-08-14,640447,47.2
