,date,streams,stringency
0,2018-08-24,4869155,
1,2018-08-31,5207132,
2,2018-09-07,5010547,
3,2018-09-14,5432395,
4,2018-09-21,5362867,
5,2018-09-28,5059531,
6,2018-10-05,5441911,
7,2018-10-12,5323168,
8,2018-10-19,5428466,
9,2018-10-26,5348163,
10,2018-11-02,5347260,
11,2018-11-09,5964024,
12,2018-11-16,5503013,
13,2018-11-23,5440273,
14,2018-11-30,6561685,
15,2018-12-07,6082709,
16,2018-12-14,6425430,
17,2018-12-21,6647058,
18,2018-12-28,5002364,
19,2019-01-04,5515510,
20,2019-01-11,5808265,
21,2019-01-18,5877837,
22,2019-01-25,5921615,
23,2019-02-01,5948627,
24,2019-02-08,6126307,
25,2019-02-15,6010179,
26,2019-02-22,5954636,
27,2019-03-01,5922131,
28,2019-03-08,5953845,
29,2019-03-15,5930705,
30,2019-03-22,5916711,
31,2019-03-29,6393721,
32,2019-04-05,6105716,
33,2019-04-12,6181537,
34,2019-04-19,5709073,
35,2019-04-26,6278364,
36,2019-05-03,6000469,
37,2019-05-10,5939777,
38,2019-05-17,7723289,
39,2019-05-24,7149252,
40,2019-05-31,7459817,
41,2019-06-07,6905088,
42,2019-06-14,6736925,
43,2019-06-21,7184454,
44,2019-06-28,7300953,
45,2019-07-05,6971539,
46,2019-07-12,7290120,
47,2019-07-19,6776990,
48,2019-07-26,6580784,
49,2019-08-02,6602398,
50,2019-08-09,6594449,
51,2019-08-16,6602830,
52,2019-08-23,6417843,
53,2019-08-30,6722924,
54,2019-09-06,7114781,
55,2019-09-13,7239736,
56,2019-09-20,7003321,
57,2019-09-27,7610588,
58,2019-10-04,7476305,
59,2019-10-11,7487153,
60,2019-10-18,7336572,
61,2019-10-25,7379799,
62,2019-11-01,8366023,
63,2019-11-08,7597330,
64,2019-11-15,7877945,
65,2019-11-22,7595047,
66,2019-11-29,7835250,
67,2019-12-06,8796031,
68,2019-12-13,9072393,
69,2019-12-20,9300238,
70,2019-12-27,6882373,
71,2020-01-03,7530041,0.0
72,2020-01-10,8087867,0.0
73,2020-01-17,8362530,0.0
74,2020-01-24,8054060,2.4
75,2020-01-31,7831460,14.3
76,2020-02-07,7830690,16.7
77,2020-02-14,8042142,16.7
78,2020-02-21,8011592,16.7
79,2020-02-28,7876877,17.9
80,2020-03-06,8086459,19.4
81,2020-03-13,7663858,46.9
82,2020-03-20,8047730,79.6
83,2020-03-27,8115333,82.4
84,2020-04-03,8337695,77.7
85,2020-04-10,8232536,74.1
86,2020-04-17,8435315,71.7
87,2020-04-24,9518310,60.7
88,2020-05-01,8581700,57.4
89,2020-05-08,8510747,57.4
90,2020-05-15,8820290,57.4
91,2020-05-22,8714113,57.4
92,2020-05-29,8641849,45.4
93,2020-06-05,8542941,41.7
94,2020-06-12,8807749,41.7
95,2020-06-19,9222440,40.8
96,2020-06-26,8745914,35.2
97,2020-07-03,8129094,36.4
98,2020-07-10,8555368,34.7
99,2020-07-17,8650267,35.5
100,2020-07-24,8489350,37.5
101,2020-07-31,8505070,36.1
102,2020-08-07,8616465,36.1
103,2020-08-14,9339769,36.1
