,date,streams,stringency
0,2018-08-24,142899503,
1,2018-08-31,148764686,
2,2018-09-07,142763299,
3,2018-09-14,151528074,
4,2018-09-21,148899467,
5,2018-09-28,156503492,
6,2018-10-05,166393499,
7,2018-10-12,154019991,
8,2018-10-19,148532658,
9,2018-10-26,154163801,
10,2018-11-02,150974573,
11,2018-11-09,148265873,
12,2018-11-16,144246440,
13,2018-11-23,156698199,
14,2018-11-30,160377434,
15,2018-12-07,153597134,
16,2018-12-14,162818063,
17,2018-12-21,213622305,
18,2018-12-28,150045324,
19,2019-01-04,134889791,
20,2019-01-11,151679754,
21,2019-01-18,160343314,
22,2019-01-25,161505530,
23,2019-02-01,156873265,
24,2019-02-08,167915107,
25,2019-02-15,166753077,
26,2019-02-22,163227495,
27,2019-03-01,151425848,
28,2019-03-08,164150480,
29,2019-03-15,190700279,
30,2019-03-22,196132072,
31,2019-03-29,190697626,
32,2019-04-05,185697767,
33,2019-04-12,203124973,
34,2019-04-19,179329766,
35,2019-04-26,169886933,
36,2019-05-03,170454183,
37,2019-05-10,180296877,
38,2019-05-17,198661202,
39,2019-05-24,196437021,
40,2019-05-31,187011498,
41,2019-06-07,189454316,
42,2019-06-14,198301858,
43,2019-06-21,204787006,
44,2019-06-28,209649605,
45,2019-07-05,191255892,
46,2019-07-12,206889589,
47,2019-07-19,185694737,
48,2019-07-26,177629254,
49,2019-08-02,175048569,
50,2019-08-09,175808681,
51,2019-08-16,165437733,
52,2019-08-23,178164578,
53,2019-08-30,184480699,
54,2019-09-06,185622702,
55,2019-09-13,189257813,
56,2019-09-20,205574143,
57,2019-09-27,211068174,
58,2019-10-04,202128460,
59,2019-10-11,197606933,
60,2019-10-18,197529566,
61,2019-10-25,211960703,
62,2019-11-01,197250567,
63,2019-11-08,193107050,
64,2019-11-15,184990024,
65,2019-11-22,180681521,
66,2019-11-29,201696265,
67,2019-12-06,216071301,
68,2019-12-13,205248256,
69,2019-12-20,262155661,
70,2019-12-27,175265111,
71,2020-01-03,166989994,0.0
72,2020-01-10,188928998,0.0
73,2020-01-17,198127142,0.0
74,2020-01-24,197659691,2.4
75,2020-01-31,193717883,5.6
76,2020-02-07,189742528,5.6
77,2020-02-14,203184827,9.5
78,2020-02-21,181302693,11.1
79,2020-02-28,186937228,17.9
80,2020-03-06,186274996,25.0
81,2020-03-13,183558128,32.3
82,2020-03-20,167896983,56.3
83,2020-03-27,179143933,76.8
84,2020-04-03,182793852,76.8
85,2020-04-10,170345405,76.8
86,2020-04-17,182763835,76.8
87,2020-04-24,187751497,76.8
88,2020-05-01,178965743,76.6
89,2020-05-08,188765508,66.8
90,2020-05-15,194288214,63.6
91,2020-05-22,186708436,60.0
92,2020-05-29,210805005,59.7
93,2020-06-05,197594683,59.7
94,2020-06-12,185605839,59.7
95,2020-06-19,203977684,61.8
96,2020-06-26,191981875,63.4
97,2020-07-03,195837283,63.4
98,2020-07-10,193345389,56.3
99,2020-07-17,192973906,55.1
100,2020-07-24,204359911,55.1
101,2020-07-31,210775980,56.3
102,2020-08-07,200822741,57.9
103,2020-08-14,188445427,56.9
