,date,streams,stringency
0,2018-08-24,24716696,
1,2018-08-31,25975199,
2,2018-09-07,26251701,
3,2018-09-14,26286642,
4,2018-09-21,25622860,
5,2018-09-28,28144164,
6,2018-10-05,27179092,
7,2018-10-12,25750146,
8,2018-10-19,25038850,
9,2018-10-26,27242395,
10,2018-11-02,25995443,
11,2018-11-09,25420664,
12,2018-11-16,25402528,
13,2018-11-23,27065185,
14,2018-11-30,34143986,
15,2018-12-07,30656038,
16,2018-12-14,30475531,
17,2018-12-21,35084620,
18,2018-12-28,23408252,
19,2019-01-04,23597275,
20,2019-01-11,24966008,
21,2019-01-18,24812438,
22,2019-01-25,24019998,
23,2019-02-01,24170082,
24,2019-02-08,24708569,
25,2019-02-15,24272126,
26,2019-02-22,24787978,
27,2019-03-01,24012402,
28,2019-03-08,23134676,
29,2019-03-15,24455666,
30,2019-03-22,23629583,
31,2019-03-29,25028637,
32,2019-04-05,25076510,
33,2019-04-12,25702666,
34,2019-04-19,24117854,
35,2019-04-26,26669916,
36,2019-05-03,25623473,
37,2019-05-10,26987566,
38,2019-05-17,27189041,
39,2019-05-24,27313390,
40,2019-05-31,25557093,
41,2019-06-07,26249580,
42,2019-06-14,28418353,
43,2019-06-21,28603103,
44,2019-06-28,27728314,
45,2019-07-05,26435439,
46,2019-07-12,30480949,
47,2019-07-19,27091181,
48,2019-07-26,25800727,
49,2019-08-02,25624109,
50,2019-08-09,24438536,
51,2019-08-16,24999768,
52,2019-08-23,24613709,
53,2019-08-30,25241937,
54,2019-09-06,28154103,
55,2019-09-13,27944892,
56,2019-09-20,25818154,
57,2019-09-27,25680840,
58,2019-10-04,26766522,
59,2019-10-11,26449239,
60,2019-10-18,25061110,
61,2019-10-25,26875042,
62,2019-11-01,25720504,
63,2019-11-08,25564287,
64,2019-11-15,27420292,
65,2019-11-22,28763315,
66,2019-11-29,34402187,
67,2019-12-06,31768508,
68,2019-12-13,32291673,
69,2019-12-20,39408224,
70,2019-12-27,26057525,
71,2020-01-03,25722325,0.0
72,2020-01-10,26786892,0.0
73,2020-01-17,27329257,0.0
74,2020-01-24,26413658,0.0
75,2020-01-31,27059192,0.0
76,2020-02-07,27103239,0.0
77,2020-02-14,28633756,0.0
78,2020-02-21,26567087,0.0
79,2020-02-28,25620275,6.3
80,2020-03-06,24362594,21.4
81,2020-03-13,24474247,46.8
82,2020-03-20,24903536,70.3
83,2020-03-27,24116192,72.2
84,2020-04-03,24408247,72.2
85,2020-04-10,22747361,72.2
86,2020-04-17,24483005,69.6
87,2020-04-24,25241805,68.5
88,2020-05-01,25960854,68.5
89,2020-05-08,25020015,67.3
90,2020-05-15,27561584,65.7
91,2020-05-22,26250515,65.7
92,2020-05-29,27269553,63.0
93,2020-06-05,24452499,63.0
94,2020-06-12,26933400,63.0
95,2020-06-19,26323240,63.0
96,2020-06-26,25818201,63.0
97,2020-07-03,25362644,63.0
98,2020-07-10,25097888,61.0
99,2020-07-17,24857104,60.2
100,2020-07-24,24002152,60.2
101,2020-07-31,27628788,59.1
102,2020-08-07,27084223,56.5
103,2020-08-14,27440200,56.5
