,date,streams,stringency
0,2018-08-24,98020022,
1,2018-08-31,98106210,
2,2018-09-07,93060881,
3,2018-09-14,92130930,
4,2018-09-21,92773802,
5,2018-09-28,94928914,
6,2018-10-05,94887484,
7,2018-10-12,93552611,
8,2018-10-19,95676802,
9,2018-10-26,94633900,
10,2018-11-02,100204143,
11,2018-11-09,101193506,
12,2018-11-16,99137690,
13,2018-11-23,97654340,
14,2018-11-30,106076134,
15,2018-12-07,96575119,
16,2018-12-14,99101028,
17,2018-12-21,99399214,
18,2018-12-28,96276132,
19,2019-01-04,91400611,
20,2019-01-11,96569074,
21,2019-01-18,101566338,
22,2019-01-25,102723113,
23,2019-02-01,103396241,
24,2019-02-08,105898612,
25,2019-02-15,105489250,
26,2019-02-22,107416384,
27,2019-03-01,105903246,
28,2019-03-08,104337187,
29,2019-03-15,104647053,
30,2019-03-22,107087733,
31,2019-03-29,112666570,
32,2019-04-05,106754630,
33,2019-04-12,111991787,
34,2019-04-19,96876531,
35,2019-04-26,105826244,
36,2019-05-03,104107633,
37,2019-05-10,110315963,
38,2019-05-17,112197569,
39,2019-05-24,112164557,
40,2019-05-31,117449782,
41,2019-06-07,118137497,
42,2019-06-14,122154066,
43,2019-06-21,123862448,
44,2019-06-28,124765935,
45,2019-07-05,123532853,
46,2019-07-12,121863765,
47,2019-07-19,120758979,
48,2019-07-26,121509595,
49,2019-08-02,119950393,
50,2019-08-09,114229434,
51,2019-08-16,114915360,
52,2019-08-23,113317716,
53,2019-08-30,118369737,
54,2019-09-06,112122587,
55,2019-09-13,109222071,
56,2019-09-20,111797077,
57,2019-09-27,112801276,
58,2019-10-04,110910376,
59,2019-10-11,106776641,
60,2019-10-18,104561759,
61,2019-10-25,119180739,
62,2019-11-01,108739221,
63,2019-11-08,108447842,
64,2019-11-15,107340939,
65,2019-11-22,108310165,
66,2019-11-29,109476656,
67,2019-12-06,103267980,
68,2019-12-13,107784122,
69,2019-12-20,113262190,
70,2019-12-27,108132097,
71,2020-01-03,101367617,0.0
72,2020-01-10,109025403,0.0
73,2020-01-17,109052914,0.0
74,2020-01-24,112191388,0.0
75,2020-01-31,112600247,4.8
76,2020-02-07,113495950,11.1
77,2020-02-14,116183156,11.1
78,2020-02-21,118654762,11.1
79,2020-02-28,132859804,11.1
80,2020-03-06,124869651,11.1
81,2020-03-13,114743068,48.9
82,2020-03-20,121056007,71.4
83,2020-03-27,114863331,71.8
84,2020-04-03,112421317,85.2
85,2020-04-10,109246530,85.2
86,2020-04-17,107909484,85.2
87,2020-04-24,110275113,85.2
88,2020-05-01,118917327,85.2
89,2020-05-08,121607588,81.9
90,2020-05-15,123659203,82.3
91,2020-05-22,124774428,77.6
92,2020-05-29,129018745,69.7
93,2020-06-05,125572022,66.7
94,2020-06-12,126368253,57.4
95,2020-06-19,131957551,54.8
96,2020-06-26,130844211,39.4
97,2020-07-03,129598194,43.9
98,2020-07-10,130057125,55.1
99,2020-07-17,129972855,61.7
100,2020-07-24,133557551,64.4
101,2020-07-31,129858215,64.4
102,2020-08-07,125794563,64.4
103,2020-08-14,123711360,61.4
