,date,streams,stringency
0,2018-08-24,1438969,
1,2018-08-31,1498797,
2,2018-09-07,1435962,
3,2018-09-14,1402195,
4,2018-09-21,1377288,
5,2018-09-28,1326548,
6,2018-10-05,1371115,
7,2018-10-12,1356665,
8,2018-10-19,1365602,
9,2018-10-26,1285596,
10,2018-11-02,1335827,
11,2018-11-09,1425251,
12,2018-11-16,1494739,
13,2018-11-23,1388958,
14,2018-11-30,1434774,
15,2018-12-07,1476184,
16,2018-12-14,1493275,
17,2018-12-21,1637981,
18,2018-12-28,1203986,
19,2019-01-04,1267900,
20,2019-01-11,1320629,
21,2019-01-18,1326659,
22,2019-01-25,1365478,
23,2019-02-01,1426774,
24,2019-02-08,1489094,
25,2019-02-15,1446543,
26,2019-02-22,1399052,
27,2019-03-01,1307374,
28,2019-03-08,1309091,
29,2019-03-15,1298049,
30,2019-03-22,1305551,
31,2019-03-29,1546344,
32,2019-04-05,1447351,
33,2019-04-12,1546520,
34,2019-04-19,1424320,
35,2019-04-26,1361277,
36,2019-05-03,1356981,
37,2019-05-10,1423850,
38,2019-05-17,1745548,
39,2019-05-24,1546790,
40,2019-05-31,1519831,
41,2019-06-07,1492803,
42,2019-06-14,1496025,
43,2019-06-21,1520348,
44,2019-06-28,1635077,
45,2019-07-05,1550847,
46,2019-07-12,1691923,
47,2019-07-19,1579470,
48,2019-07-26,1502585,
49,2019-08-02,1485202,
50,2019-08-09,1718022,
51,2019-08-16,1625435,
52,2019-08-23,1586196,
53,2019-08-30,1537693,
54,2019-09-06,1665878,
55,2019-09-13,1624005,
56,2019-09-20,1549309,
57,2019-09-27,1473656,
58,2019-10-04,1467731,
59,2019-10-11,1467162,
60,2019-10-18,1480706,
61,2019-10-25,1465995,
62,2019-11-01,1575136,
63,2019-11-08,1518649,
64,2019-11-15,1548269,
65,2019-11-22,1462961,
66,2019-11-29,1589385,
67,2019-12-06,1685666,
68,2019-12-13,1733621,
69,2019-12-20,1890539,
70,2019-12-27,1467772,
71,2020-01-03,1510146,0.0
72,2020-01-10,1621550,0.0
73,2020-01-17,1771294,0.0
74,2020-01-24,1640070,0.0
75,2020-01-31,1603081,0.0
76,2020-02-07,1600027,0.0
77,2020-02-14,1639034,0.0
78,2020-02-21,1649448,0.0
79,2020-02-28,1602061,0.0
80,2020-03-06,1595147,0.0
81,2020-03-13,1543431,16.7
82,2020-03-20,1574118,49.2
83,2020-03-27,1493256,63.5
84,2020-04-03,1520360,77.8
85,2020-04-10,1518402,77.8
86,2020-04-17,1610909,77.8
87,2020-04-24,1553043,77.8
88,2020-05-01,1523701,75.0
89,2020-05-08,1538379,71.4
90,2020-05-15,1499244,59.8
91,2020-05-22,1631282,50.0
92,2020-05-29,1618154,50.0
93,2020-06-05,1621424,38.0
94,2020-06-12,1657466,38.0
95,2020-06-19,1696986,38.0
96,2020-06-26,1660363,34.3
97,2020-07-03,1630172,23.0
98,2020-07-10,1699374,22.2
99,2020-07-17,1604794,22.2
100,2020-07-24,1622579,22.2
101,2020-07-31,1610297,19.8
102,2020-08-07,1585776,19.4
103,2020-08-14,1725151,19.4
