,date,streams,stringency
0,2018-08-24,31920100,
1,2018-08-31,33699774,
2,2018-09-07,33092277,
3,2018-09-14,33763708,
4,2018-09-21,33819316,
5,2018-09-28,34601873,
6,2018-10-05,35411726,
7,2018-10-12,34321936,
8,2018-10-19,34370700,
9,2018-10-26,33902524,
10,2018-11-02,34239884,
11,2018-11-09,35430976,
12,2018-11-16,34018423,
13,2018-11-23,34834308,
14,2018-11-30,37553395,
15,2018-12-07,36848877,
16,2018-12-14,37331071,
17,2018-12-21,43170292,
18,2018-12-28,31859848,
19,2019-01-04,31412377,
20,2019-01-11,33679373,
21,2019-01-18,34952487,
22,2019-01-25,35875768,
23,2019-02-01,35863128,
24,2019-02-08,39296323,
25,2019-02-15,37129172,
26,2019-02-22,36690741,
27,2019-03-01,36259088,
28,2019-03-08,36882465,
29,2019-03-15,37403543,
30,2019-03-22,40548370,
31,2019-03-29,40466738,
32,2019-04-05,40812430,
33,2019-04-12,40313405,
34,2019-04-19,36956832,
35,2019-04-26,36326254,
36,2019-05-03,36228628,
37,2019-05-10,38326938,
38,2019-05-17,40257114,
39,2019-05-24,39347668,
40,2019-05-31,38892709,
41,2019-06-07,41349124,
42,2019-06-14,41656032,
43,2019-06-21,41977378,
44,2019-06-28,42189162,
45,2019-07-05,42451623,
46,2019-07-12,43000985,
47,2019-07-19,40654371,
48,2019-07-26,39278458,
49,2019-08-02,38838438,
50,2019-08-09,37577317,
51,2019-08-16,36934153,
52,2019-08-23,37828878,
53,2019-08-30,38585517,
54,2019-09-06,40845814,
55,2019-09-13,40798335,
56,2019-09-20,40441468,
57,2019-09-27,40415963,
58,2019-10-04,40912416,
59,2019-10-11,40860709,
60,2019-10-18,39710387,
61,2019-10-25,42200934,
62,2019-11-01,40106306,
63,2019-11-08,40336791,
64,2019-11-15,41230215,
65,2019-11-22,40260670,
66,2019-11-29,43129902,
67,2019-12-06,43108116,
68,2019-12-13,44382153,
69,2019-12-20,51124458,
70,2019-12-27,36857130,
71,2020-01-03,36416141,0.0
72,2020-01-10,40082012,0.0
73,2020-01-17,43231962,0.0
74,2020-01-24,41973388,0.9
75,2020-01-31,41653182,3.7
76,2020-02-07,41593597,5.4
77,2020-02-14,41763127,5.9
78,2020-02-21,39956391,6.4
79,2020-02-28,40951064,11.3
80,2020-03-06,41374398,16.1
81,2020-03-13,38607967,36.1
82,2020-03-20,37811513,64.4
83,2020-03-27,37906716,74.1
84,2020-04-03,38941263,78.2
85,2020-04-10,36591793,79.2
86,2020-04-17,36486186,78.6
87,2020-04-24,36719962,77.5
88,2020-05-01,36452766,77.0
89,2020-05-08,37254444,72.8
90,2020-05-15,38363012,68.9
91,2020-05-22,39148347,66.6
92,2020-05-29,40774636,63.9
93,2020-06-05,39069629,57.6
94,2020-06-12,39782096,54.4
95,2020-06-19,41989412,51.2
96,2020-06-26,40783117,47.7
97,2020-07-03,41365283,45.2
98,2020-07-10,42443993,44.7
99,2020-07-17,42249122,44.5
100,2020-07-24,42651138,44.6
101,2020-07-31,42109898,44.3
102,2020-08-07,41011437,44.2
103,2020-08-14,39585137,44.7
