,date,streams,stringency
0,2018-08-24,21122683,
1,2018-08-31,21368063,
2,2018-09-07,21121857,
3,2018-09-14,21057084,
4,2018-09-21,20912984,
5,2018-09-28,20787165,
6,2018-10-05,20390336,
7,2018-10-12,20973096,
8,2018-10-19,20110109,
9,2018-10-26,20053124,
10,2018-11-02,19463810,
11,2018-11-09,19143880,
12,2018-11-16,18461104,
13,2018-11-23,18043342,
14,2018-11-30,19019533,
15,2018-12-07,17854648,
16,2018-12-14,19241871,
17,2018-12-21,21085067,
18,2018-12-28,17145952,
19,2019-01-04,17034976,
20,2019-01-11,17872671,
21,2019-01-18,18213803,
22,2019-01-25,18870731,
23,2019-02-01,20143905,
24,2019-02-08,21156142,
25,2019-02-15,19802747,
26,2019-02-22,19445676,
27,2019-03-01,20006975,
28,2019-03-08,18821519,
29,2019-03-15,17954215,
30,2019-03-22,18151523,
31,2019-03-29,20329931,
32,2019-04-05,19642359,
33,2019-04-12,20537541,
34,2019-04-19,18439477,
35,2019-04-26,19374099,
36,2019-05-03,18401882,
37,2019-05-10,18851168,
38,2019-05-17,20510697,
39,2019-05-24,21035104,
40,2019-05-31,20482055,
41,2019-06-07,20069378,
42,2019-06-14,23079465,
43,2019-06-21,20580839,
44,2019-06-28,21699671,
45,2019-07-05,19964046,
46,2019-07-12,20479989,
47,2019-07-19,20091850,
48,2019-07-26,18526000,
49,2019-08-02,17998585,
50,2019-08-09,19146299,
51,2019-08-16,18002182,
52,2019-08-23,17733290,
53,2019-08-30,18332284,
54,2019-09-06,19981670,
55,2019-09-13,20537149,
56,2019-09-20,20006051,
57,2019-09-27,19500501,
58,2019-10-04,19375975,
59,2019-10-11,19357545,
60,2019-10-18,19556392,
61,2019-10-25,20401400,
62,2019-11-01,19031891,
63,2019-11-08,18176062,
64,2019-11-15,19075386,
65,2019-11-22,18150887,
66,2019-11-29,18566838,
67,2019-12-06,17545938,
68,2019-12-13,19831567,
69,2019-12-20,23121149,
70,2019-12-27,16919619,
71,2020-01-03,18374571,0.0
72,2020-01-10,18580823,0.0
73,2020-01-17,19575222,0.0
74,2020-01-24,19094194,0.0
75,2020-01-31,19463219,5.6
76,2020-02-07,21332760,10.3
77,2020-02-14,19337430,13.9
78,2020-02-21,18695936,13.9
79,2020-02-28,17476291,17.0
80,2020-03-06,18266319,19.4
81,2020-03-13,17577805,27.9
82,2020-03-20,18233380,56.2
83,2020-03-27,17327019,58.2
84,2020-04-03,17742723,60.2
85,2020-04-10,17535856,60.2
86,2020-04-17,17591243,58.2
87,2020-04-24,18244058,57.4
88,2020-05-01,16469734,57.4
89,2020-05-08,16922696,57.4
90,2020-05-15,17407989,53.7
91,2020-05-22,18555895,50.9
92,2020-05-29,19102950,48.5
93,2020-06-05,18215970,41.7
94,2020-06-12,21075239,41.7
95,2020-06-19,20110560,30.0
96,2020-06-26,18814673,29.6
97,2020-07-03,17999086,29.6
98,2020-07-10,19218824,37.5
99,2020-07-17,18995322,41.1
100,2020-07-24,18116061,38.0
101,2020-07-31,17813467,38.0
102,2020-08-07,17499311,38.0
103,2020-08-14,17944455,38.0
