,date,streams,stringency
0,2018-08-24,78626728,
1,2018-08-31,82973112,
2,2018-09-07,82714252,
3,2018-09-14,86638958,
4,2018-09-21,96759887,
5,2018-09-28,102755118,
6,2018-10-05,105625811,
7,2018-10-12,89053192,
8,2018-10-19,95613027,
9,2018-10-26,84712211,
10,2018-11-02,93870088,
11,2018-11-09,88323177,
12,2018-11-16,90556648,
13,2018-11-23,84848074,
14,2018-11-30,86380389,
15,2018-12-07,96391995,
16,2018-12-14,83801348,
17,2018-12-21,85287104,
18,2018-12-28,82424124,
19,2019-01-04,79295622,
20,2019-01-11,82762441,
21,2019-01-18,84675989,
22,2019-01-25,99627421,
23,2019-02-01,93222083,
24,2019-02-08,96638243,
25,2019-02-15,89587866,
26,2019-02-22,95318468,
27,2019-03-01,94673586,
28,2019-03-08,93191172,
29,2019-03-15,91322235,
30,2019-03-22,152284526,
31,2019-03-29,124184704,
32,2019-04-05,158446013,
33,2019-04-12,120237925,
34,2019-04-19,108418703,
35,2019-04-26,98136311,
36,2019-05-03,91632313,
37,2019-05-10,91788233,
38,2019-05-17,92176751,
39,2019-05-24,93787429,
40,2019-05-31,93899217,
41,2019-06-07,131068035,
42,2019-06-14,126305938,
43,2019-06-21,123646358,
44,2019-06-28,110334082,
45,2019-07-05,109455891,
46,2019-07-12,101085415,
47,2019-07-19,96224362,
48,2019-07-26,95361761,
49,2019-08-02,95418935,
50,2019-08-09,90524685,
51,2019-08-16,91640979,
52,2019-08-23,100964595,
53,2019-08-30,94939472,
54,2019-09-06,119980310,
55,2019-09-13,116997652,
56,2019-09-20,105205297,
57,2019-09-27,105027957,
58,2019-10-04,113574983,
59,2019-10-11,127623674,
60,2019-10-18,115293248,
61,2019-10-25,113081542,
62,2019-11-01,100661009,
63,2019-11-08,110683086,
64,2019-11-15,109369800,
65,2019-11-22,107871060,
66,2019-11-29,123012331,
67,2019-12-06,111708176,
68,2019-12-13,112068079,
69,2019-12-20,119060359,
70,2019-12-27,112050417,
71,2020-01-03,104810601,0.0
72,2020-01-10,112487387,0.0
73,2020-01-17,144750716,0.0
74,2020-01-24,129576256,5.2
75,2020-01-31,138344830,12.3
76,2020-02-07,121352958,13.9
77,2020-02-14,116117727,13.9
78,2020-02-21,113621245,13.9
79,2020-02-28,118798724,22.2
80,2020-03-06,139666997,46.8
81,2020-03-13,120893087,48.4
82,2020-03-20,106127537,84.0
83,2020-03-27,100899644,88.0
84,2020-04-03,103470452,88.0
85,2020-04-10,95896437,88.0
86,2020-04-17,93465180,88.0
87,2020-04-24,88707713,88.0
88,2020-05-01,86280762,88.0
89,2020-05-08,91662160,88.0
90,2020-05-15,101089312,76.8
91,2020-05-22,102241550,76.8
92,2020-05-29,106834837,75.3
93,2020-06-05,108978530,72.6
94,2020-06-12,112533066,72.2
95,2020-06-19,126537709,72.2
96,2020-06-26,114294264,51.8
97,2020-07-03,120171347,51.8
98,2020-07-10,120169999,44.7
99,2020-07-17,121385458,43.5
100,2020-07-24,118726958,43.5
101,2020-07-31,117248646,43.5
102,2020-08-07,109698673,43.5
103,2020-08-14,108844050,43.5
