,date,streams,stringency
0,2018-08-24,131130736,
1,2018-08-31,148326045,
2,2018-09-07,140210925,
3,2018-09-14,138063425,
4,2018-09-21,135446489,
5,2018-09-28,135256479,
6,2018-10-05,139324455,
7,2018-10-12,141483579,
8,2018-10-19,140778261,
9,2018-10-26,135654189,
10,2018-11-02,138064107,
11,2018-11-09,140942534,
12,2018-11-16,138413007,
13,2018-11-23,138091689,
14,2018-11-30,164828686,
15,2018-12-07,167878544,
16,2018-12-14,173656604,
17,2018-12-21,219737110,
18,2018-12-28,126251198,
19,2019-01-04,128757154,
20,2019-01-11,135447666,
21,2019-01-18,142175788,
22,2019-01-25,141902859,
23,2019-02-01,141022982,
24,2019-02-08,166560076,
25,2019-02-15,152365846,
26,2019-02-22,146013457,
27,2019-03-01,142523117,
28,2019-03-08,147795704,
29,2019-03-15,139060420,
30,2019-03-22,141204652,
31,2019-03-29,150087188,
32,2019-04-05,148254148,
33,2019-04-12,149458215,
34,2019-04-19,149686304,
35,2019-04-26,149144728,
36,2019-05-03,147330641,
37,2019-05-10,155757440,
38,2019-05-17,165646156,
39,2019-05-24,153866338,
40,2019-05-31,147415295,
41,2019-06-07,143441268,
42,2019-06-14,141994177,
43,2019-06-21,146540093,
44,2019-06-28,155832212,
45,2019-07-05,153195152,
46,2019-07-12,171037507,
47,2019-07-19,161901892,
48,2019-07-26,147303297,
49,2019-08-02,146349797,
50,2019-08-09,139344665,
51,2019-08-16,139743897,
52,2019-08-23,147714601,
53,2019-08-30,140877360,
54,2019-09-06,154543537,
55,2019-09-13,151718811,
56,2019-09-20,141383414,
57,2019-09-27,141334140,
58,2019-10-04,143072071,
59,2019-10-11,141752463,
60,2019-10-18,136421199,
61,2019-10-25,145847148,
62,2019-11-01,136218727,
63,2019-11-08,140699195,
64,2019-11-15,142522555,
65,2019-11-22,147697656,
66,2019-11-29,166585316,
67,2019-12-06,171809708,
68,2019-12-13,193741196,
69,2019-12-20,241575726,
70,2019-12-27,134252037,
71,2020-01-03,138199992,0.0
72,2020-01-10,147469239,0.0
73,2020-01-17,161906562,0.0
74,2020-01-24,158950299,5.6
75,2020-01-31,147082686,7.2
76,2020-02-07,145187895,11.1
77,2020-02-14,151627780,11.1
78,2020-02-21,145146238,11.1
79,2020-02-28,142765391,11.1
80,2020-03-06,143911608,11.1
81,2020-03-13,133608766,11.9
82,2020-03-20,140183213,35.4
83,2020-03-27,134585679,79.4
84,2020-04-03,138982503,79.6
85,2020-04-10,135836226,79.6
86,2020-04-17,132262729,79.6
87,2020-04-24,131717449,79.6
88,2020-05-01,136094425,79.6
89,2020-05-08,127007956,79.6
90,2020-05-15,129493973,73.2
91,2020-05-22,141583167,71.3
92,2020-05-29,141498534,70.5
93,2020-06-05,119402623,67.6
94,2020-06-12,124893169,73.2
95,2020-06-19,129121471,71.3
96,2020-06-26,121871613,71.3
97,2020-07-03,132256889,70.9
98,2020-07-10,142052352,64.4
99,2020-07-17,137318008,64.4
100,2020-07-24,149817027,64.4
101,2020-07-31,137773011,65.5
102,2020-08-07,137558110,68.1
103,2020-08-14,132866218,66.0
