,date,streams,stringency
0,2018-08-24,2373075,
1,2018-08-31,2725790,
2,2018-09-07,2463482,
3,2018-09-14,2332767,
4,2018-09-21,2275552,
5,2018-09-28,2315915,
6,2018-10-05,2388032,
7,2018-10-12,2415329,
8,2018-10-19,2379986,
9,2018-10-26,2316576,
10,2018-11-02,2384511,
11,2018-11-09,2369043,
12,2018-11-16,2317031,
13,2018-11-23,2441265,
14,2018-11-30,2622157,
15,2018-12-07,2591535,
16,2018-12-14,2637884,
17,2018-12-21,2991983,
18,2018-12-28,2311997,
19,2019-01-04,2356992,
20,2019-01-11,2563807,
21,2019-01-18,2814645,
22,2019-01-25,2955252,
23,2019-02-01,2949962,
24,2019-02-08,3356608,
25,2019-02-15,2990196,
26,2019-02-22,2868026,
27,2019-03-01,3095147,
28,2019-03-08,3312709,
29,2019-03-15,3235859,
30,2019-03-22,3210514,
31,2019-03-29,3482294,
32,2019-04-05,3308388,
33,2019-04-12,3388257,
34,2019-04-19,3387931,
35,2019-04-26,2884932,
36,2019-05-03,3083336,
37,2019-05-10,3206412,
38,2019-05-17,3669580,
39,2019-05-24,3854002,
40,2019-05-31,3953705,
41,2019-06-07,4229569,
42,2019-06-14,8535780,
43,2019-06-21,5870509,
44,2019-06-28,5210928,
45,2019-07-05,5283911,
46,2019-07-12,5242137,
47,2019-07-19,5542092,
48,2019-07-26,5725026,
49,2019-08-02,5533375,
50,2019-08-09,5080866,
51,2019-08-16,5004770,
52,2019-08-23,5135815,
53,2019-08-30,5244239,
54,2019-09-06,5282104,
55,2019-09-13,5173867,
56,2019-09-20,4812517,
57,2019-09-27,4523652,
58,2019-10-04,4602464,
59,2019-10-11,4595066,
60,2019-10-18,4749037,
61,2019-10-25,4741751,
62,2019-11-01,5122471,
63,2019-11-08,4612196,
64,2019-11-15,4513699,
65,2019-11-22,4983257,
66,2019-11-29,5088917,
67,2019-12-06,5146133,
68,2019-12-13,5315521,
69,2019-12-20,5901472,
70,2019-12-27,4981696,
71,2020-01-03,4731565,0.0
72,2020-01-10,5119278,0.0
73,2020-01-17,5436219,0.0
74,2020-01-24,5206500,0.0
75,2020-01-31,5200233,0.0
76,2020-02-07,5379036,0.0
77,2020-02-14,5796655,0.0
78,2020-02-21,5387991,0.0
79,2020-02-28,5661168,11.9
80,2020-03-06,6597578,24.7
81,2020-03-13,6778638,41.2
82,2020-03-20,6623730,64.9
83,2020-03-27,6793133,84.3
84,2020-04-03,6744242,84.3
85,2020-04-10,6671851,84.3
86,2020-04-17,6065891,84.3
87,2020-04-24,6646677,84.3
88,2020-05-01,6658553,84.3
89,2020-05-08,6818332,73.5
90,2020-05-15,6761665,68.5
91,2020-05-22,11426280,68.5
92,2020-05-29,8055432,66.6
93,2020-06-05,7566088,54.6
94,2020-06-12,7180554,54.6
95,2020-06-19,7269875,40.7
96,2020-06-26,7621778,44.7
97,2020-07-03,7761808,43.9
98,2020-07-10,7804080,46.3
99,2020-07-17,8827271,57.4
100,2020-07-24,7835810,57.4
101,2020-07-31,7893083,54.2
102,2020-08-07,7832218,46.3
103,2020-08-14,7408668,52.6
