,date,streams,stringency
0,2018-08-24,14368180,
1,2018-08-31,14879909,
2,2018-09-07,15400842,
3,2018-09-14,14926427,
4,2018-09-21,14631872,
5,2018-09-28,14455982,
6,2018-10-05,14680505,
7,2018-10-12,15206206,
8,2018-10-19,15682606,
9,2018-10-26,15690370,
10,2018-11-02,15360934,
11,2018-11-09,15845491,
12,2018-11-16,15262562,
13,2018-11-23,15299357,
14,2018-11-30,16930568,
15,2018-12-07,17793206,
16,2018-12-14,18179215,
17,2018-12-21,21155160,
18,2018-12-28,14722223,
19,2019-01-04,14661966,
20,2019-01-11,15499070,
21,2019-01-18,16415938,
22,2019-01-25,16373767,
23,2019-02-01,16719566,
24,2019-02-08,19387185,
25,2019-02-15,18954879,
26,2019-02-22,16889512,
27,2019-03-01,16714205,
28,2019-03-08,16451891,
29,2019-03-15,15569688,
30,2019-03-22,16142569,
31,2019-03-29,17899900,
32,2019-04-05,17802365,
33,2019-04-12,18544011,
34,2019-04-19,18455775,
35,2019-04-26,16819128,
36,2019-05-03,17894924,
37,2019-05-10,18376822,
38,2019-05-17,19970292,
39,2019-05-24,18507287,
40,2019-05-31,17140231,
41,2019-06-07,16332154,
42,2019-06-14,16976179,
43,2019-06-21,17773783,
44,2019-06-28,18246378,
45,2019-07-05,17911480,
46,2019-07-12,19170925,
47,2019-07-19,17504570,
48,2019-07-26,17061240,
49,2019-08-02,16616720,
50,2019-08-09,16152257,
51,2019-08-16,16273512,
52,2019-08-23,17198766,
53,2019-08-30,16143225,
54,2019-09-06,18135628,
55,2019-09-13,17823185,
56,2019-09-20,17070707,
57,2019-09-27,16668041,
58,2019-10-04,18806509,
59,2019-10-11,17471206,
60,2019-10-18,16841135,
61,2019-10-25,18328659,
62,2019-11-01,16718095,
63,2019-11-08,16845077,
64,2019-11-15,17311116,
65,2019-11-22,17776120,
66,2019-11-29,18487812,
67,2019-12-06,19648266,
68,2019-12-13,21300755,
69,2019-12-20,25335067,
70,2019-12-27,15961983,
71,2020-01-03,16418508,0.0
72,2020-01-10,17337629,0.0
73,2020-01-17,18327371,0.0
74,2020-01-24,17484696,0.0
75,2020-01-31,17174974,0.0
76,2020-02-07,16895427,4.8
77,2020-02-14,18043548,5.6
78,2020-02-21,16959343,5.6
79,2020-02-28,16867633,7.2
80,2020-03-06,16689180,11.1
81,2020-03-13,17720847,28.3
82,2020-03-20,17656264,48.2
83,2020-03-27,17273326,64.0
84,2020-04-03,17479925,85.2
85,2020-04-10,17566028,90.7
86,2020-04-17,16484389,90.7
87,2020-04-24,16586527,90.7
88,2020-05-01,16871259,90.7
89,2020-05-08,16664454,90.7
90,2020-05-15,15846760,90.7
91,2020-05-22,17564346,83.3
92,2020-05-29,18182196,83.3
93,2020-06-05,15278078,78.5
94,2020-06-12,15801071,72.2
95,2020-06-19,15608478,72.2
96,2020-06-26,15810929,57.9
97,2020-07-03,16072864,38.9
98,2020-07-10,17452942,38.9
99,2020-07-17,16968964,38.9
100,2020-07-24,18082436,38.9
101,2020-07-31,16663368,38.9
102,2020-08-07,16797998,44.8
103,2020-08-14,16269031,59.7
