,date,streams,stringency
0,2018-08-24,90166128,
1,2018-08-31,91402156,
2,2018-09-07,94729362,
3,2018-09-14,101696079,
4,2018-09-21,100314585,
5,2018-09-28,102621346,
6,2018-10-05,100232938,
7,2018-10-12,105527850,
8,2018-10-19,97516621,
9,2018-10-26,97484274,
10,2018-11-02,96043323,
11,2018-11-09,128006607,
12,2018-11-16,107749145,
13,2018-11-23,107438668,
14,2018-11-30,114594619,
15,2018-12-07,107163031,
16,2018-12-14,102908945,
17,2018-12-21,102335520,
18,2018-12-28,95411811,
19,2019-01-04,94847512,
20,2019-01-11,101081933,
21,2019-01-18,105204132,
22,2019-01-25,107171176,
23,2019-02-01,116234010,
24,2019-02-08,136245718,
25,2019-02-15,120414253,
26,2019-02-22,111602300,
27,2019-03-01,115518468,
28,2019-03-08,114924704,
29,2019-03-15,117316851,
30,2019-03-22,124511264,
31,2019-03-29,121598290,
32,2019-04-05,110831674,
33,2019-04-12,103460622,
34,2019-04-19,94590732,
35,2019-04-26,95375218,
36,2019-05-03,100239545,
37,2019-05-10,113537378,
38,2019-05-17,107396741,
39,2019-05-24,110039697,
40,2019-05-31,118773348,
41,2019-06-07,136425101,
42,2019-06-14,132538894,
43,2019-06-21,133310315,
44,2019-06-28,130861550,
45,2019-07-05,174786776,
46,2019-07-12,150291984,
47,2019-07-19,141555897,
48,2019-07-26,137557554,
49,2019-08-02,136386844,
50,2019-08-09,127083157,
51,2019-08-16,121504077,
52,2019-08-23,114061277,
53,2019-08-30,124106060,
54,2019-09-06,124809120,
55,2019-09-13,136702922,
56,2019-09-20,141267218,
57,2019-09-27,131602334,
58,2019-10-04,135672788,
59,2019-10-11,134542532,
60,2019-10-18,129011122,
61,2019-10-25,134927845,
62,2019-11-01,143663304,
63,2019-11-08,145582895,
64,2019-11-15,172358458,
65,2019-11-22,145534691,
66,2019-11-29,135066161,
67,2019-12-06,130120334,
68,2019-12-13,131590886,
69,2019-12-20,123577231,
70,2019-12-27,108740578,
71,2020-01-03,104334251,0.0
72,2020-01-10,113817033,0.0
73,2020-01-17,117848211,0.0
74,2020-01-24,116290220,1.6
75,2020-01-31,119061442,10.7
76,2020-02-07,142460247,19.4
77,2020-02-14,128678337,19.4
78,2020-02-21,123290484,30.3
79,2020-02-28,121072134,69.9
80,2020-03-06,109811420,73.2
81,2020-03-13,96414101,83.3
82,2020-03-20,91704486,88.0
83,2020-03-27,97418792,91.7
84,2020-04-03,93129213,91.7
85,2020-04-10,93894760,90.9
86,2020-04-17,88304818,93.5
87,2020-04-24,92763456,93.5
88,2020-05-01,92562170,93.5
89,2020-05-08,101291554,63.0
90,2020-05-15,100493476,64.1
91,2020-05-22,110397287,63.9
92,2020-05-29,111063203,63.9
93,2020-06-05,124232097,48.4
94,2020-06-12,129238690,47.6
95,2020-06-19,141869869,55.6
96,2020-06-26,152101189,55.6
97,2020-07-03,142778339,55.6
98,2020-07-10,140152975,57.1
99,2020-07-17,150763589,58.3
100,2020-07-24,143537025,58.3
101,2020-07-31,137836879,48.2
102,2020-08-07,135482731,49.0
103,2020-08-14,126782053,50.9
