,date,streams,stringency
0,2018-08-24,1420563,
1,2018-08-31,1465384,
2,2018-09-07,1428749,
3,2018-09-14,1434227,
4,2018-09-21,1381935,
5,2018-09-28,1378941,
6,2018-10-05,1412854,
7,2018-10-12,1373358,
8,2018-10-19,1368318,
9,2018-10-26,1380087,
10,2018-11-02,1376464,
11,2018-11-09,1474008,
12,2018-11-16,1450165,
13,2018-11-23,1423023,
14,2018-11-30,1573610,
15,2018-12-07,1578519,
16,2018-12-14,1637442,
17,2018-12-21,1925106,
18,2018-12-28,1296156,
19,2019-01-04,1331264,
20,2019-01-11,1421933,
21,2019-01-18,1470622,
22,2019-01-25,1495491,
23,2019-02-01,1555768,
24,2019-02-08,1669170,
25,2019-02-15,1582957,
26,2019-02-22,1446496,
27,2019-03-01,1456301,
28,2019-03-08,1415367,
29,2019-03-15,1381362,
30,2019-03-22,1395107,
31,2019-03-29,1650681,
32,2019-04-05,1563408,
33,2019-04-12,1599330,
34,2019-04-19,1513961,
35,2019-04-26,1465858,
36,2019-05-03,1426942,
37,2019-05-10,1464756,
38,2019-05-17,1921421,
39,2019-05-24,1672974,
40,2019-05-31,1598777,
41,2019-06-07,1582144,
42,2019-06-14,1620192,
43,2019-06-21,1686813,
44,2019-06-28,1735171,
45,2019-07-05,1690497,
46,2019-07-12,1714749,
47,2019-07-19,1655558,
48,2019-07-26,1599724,
49,2019-08-02,1569353,
50,2019-08-09,1576894,
51,2019-08-16,1575762,
52,2019-08-23,1554713,
53,2019-08-30,1557955,
54,2019-09-06,1648345,
55,2019-09-13,1690078,
56,2019-09-20,1590566,
57,2019-09-27,1543038,
58,2019-10-04,1606318,
59,2019-10-11,1627067,
60,2019-10-18,1655268,
61,2019-10-25,1982127,
62,2019-11-01,1695818,
63,2019-11-08,1664925,
64,2019-11-15,1706505,
65,2019-11-22,1634108,
66,2019-11-29,1819204,
67,2019-12-06,1948932,
68,2019-12-13,2091907,
69,2019-12-20,2430701,
70,2019-12-27,1695166,
71,2020-01-03,1730727,0.0
72,2020-01-10,1873913,0.0
73,2020-01-17,2045313,0.0
74,2020-01-24,1904429,0.0
75,2020-01-31,1944064,0.0
76,2020-02-07,1976482,0.0
77,2020-02-14,2127992,0.0
78,2020-02-21,2148545,0.0
79,2020-02-28,1972503,6.4
80,2020-03-06,1955978,11.1
81,2020-03-13,1799443,29.4
82,2020-03-20,1863418,81.5
83,2020-03-27,1921603,81.5
84,2020-04-03,1885396,81.5
85,2020-04-10,1768539,83.9
86,2020-04-17,1889213,82.3
87,2020-04-24,1921199,81.5
88,2020-05-01,1873079,77.8
89,2020-05-08,1917123,77.8
90,2020-05-15,1873507,75.0
91,2020-05-22,1992334,71.3
92,2020-05-29,1987577,69.2
93,2020-06-05,1903860,52.8
94,2020-06-12,1935172,52.8
95,2020-06-19,1855069,36.9
96,2020-06-26,2051399,30.6
97,2020-07-03,1960692,27.8
98,2020-07-10,2042162,27.8
99,2020-07-17,2023396,27.8
100,2020-07-24,1944948,27.8
101,2020-07-31,2018704,30.6
102,2020-08-07,2032788,25.8
103,2020-08-14,2049388,19.4
