,date,streams,stringency
0,2018-08-24,736943,
1,2018-08-31,796085,
2,2018-09-07,775400,
3,2018-09-14,800165,
4,2018-09-21,812493,
5,2018-09-28,855043,
6,2018-10-05,908707,
7,2018-10-12,862677,
8,2018-10-19,831738,
9,2018-10-26,808415,
10,2018-11-02,787339,
11,2018-11-09,825752,
12,2018-11-16,801757,
13,2018-11-23,843993,
14,2018-11-30,862052,
15,2018-12-07,850028,
16,2018-12-14,897860,
17,2018-12-21,1187170,
18,2018-12-28,760588,
19,2019-01-04,780760,
20,2019-01-11,826142,
21,2019-01-18,866919,
22,2019-01-25,862226,
23,2019-02-01,868970,
24,2019-02-08,916694,
25,2019-02-15,870145,
26,2019-02-22,872477,
27,2019-03-01,852618,
28,2019-03-08,873383,
29,2019-03-15,939575,
30,2019-03-22,1003604,
31,2019-03-29,975415,
32,2019-04-05,1010776,
33,2019-04-12,945648,
34,2019-04-19,905885,
35,2019-04-26,882621,
36,2019-05-03,867807,
37,2019-05-10,911888,
38,2019-05-17,961722,
39,2019-05-24,945823,
40,2019-05-31,941148,
41,2019-06-07,961161,
42,2019-06-14,956347,
43,2019-06-21,1023308,
44,2019-06-28,1109492,
45,2019-07-05,1038806,
46,2019-07-12,1017610,
47,2019-07-19,985220,
48,2019-07-26,901149,
49,2019-08-02,878622,
50,2019-08-09,855975,
51,2019-08-16,881444,
52,2019-08-23,847892,
53,2019-08-30,981332,
54,2019-09-06,1044629,
55,2019-09-13,934556,
56,2019-09-20,946308,
57,2019-09-27,918371,
58,2019-10-04,1067031,
59,2019-10-11,1051263,
60,2019-10-18,1133479,
61,2019-10-25,1566009,
62,2019-11-01,1067427,
63,2019-11-08,1034656,
64,2019-11-15,934056,
65,2019-11-22,936541,
66,2019-11-29,1053652,
67,2019-12-06,1092631,
68,2019-12-13,1098928,
69,2019-12-20,1451314,
70,2019-12-27,935797,
71,2020-01-03,971456,0.0
72,2020-01-10,1050028,0.0
73,2020-01-17,1123232,0.0
74,2020-01-24,1079456,0.0
75,2020-01-31,1048852,0.0
76,2020-02-07,1047979,0.0
77,2020-02-14,1072146,0.0
78,2020-02-21,1030158,0.0
79,2020-02-28,1036938,0.0
80,2020-03-06,1057353,6.3
81,2020-03-13,956372,33.9
82,2020-03-20,892117,78.5
83,2020-03-27,916830,79.6
84,2020-04-03,930521,79.6
85,2020-04-10,909296,79.6
86,2020-04-17,906814,79.6
87,2020-04-24,951629,70.4
88,2020-05-01,923775,70.4
89,2020-05-08,962702,70.4
90,2020-05-15,1034509,56.5
91,2020-05-22,988673,56.5
92,2020-05-29,1053998,43.5
93,2020-06-05,978041,43.5
94,2020-06-12,1017957,40.4
95,2020-06-19,1052031,38.0
96,2020-06-26,1006370,32.0
97,2020-07-03,1186989,24.1
98,2020-07-10,1149958,24.1
99,2020-07-17,1098099,17.9
100,2020-07-24,1073889,19.4
101,2020-07-31,1068540,21.8
102,2020-08-07,1048094,24.6
103,2020-08-14,1015371,29.8
