,date,streams,stringency
0,2018-08-24,1507392,
1,2018-08-31,1629058,
2,2018-09-07,1602453,
3,2018-09-14,1603317,
4,2018-09-21,1558056,
5,2018-09-28,1540181,
6,2018-10-05,1578153,
7,2018-10-12,1513240,
8,2018-10-19,1507267,
9,2018-10-26,1440885,
10,2018-11-02,1470718,
11,2018-11-09,1571213,
12,2018-11-16,1410150,
13,2018-11-23,1459286,
14,2018-11-30,1566746,
15,2018-12-07,1639380,
16,2018-12-14,1702020,
17,2018-12-21,2069663,
18,2018-12-28,1350797,
19,2019-01-04,1431936,
20,2019-01-11,1523738,
21,2019-01-18,1563297,
22,2019-01-25,1562356,
23,2019-02-01,1637416,
24,2019-02-08,1683269,
25,2019-02-15,1616744,
26,2019-02-22,1546316,
27,2019-03-01,1545445,
28,2019-03-08,1558567,
29,2019-03-15,1493191,
30,2019-03-22,1508417,
31,2019-03-29,1752311,
32,2019-04-05,1632271,
33,2019-04-12,1633969,
34,2019-04-19,1478013,
35,2019-04-26,1555935,
36,2019-05-03,1471255,
37,2019-05-10,1463143,
38,2019-05-17,1677205,
39,2019-05-24,1595501,
40,2019-05-31,1563491,
41,2019-06-07,1492461,
42,2019-06-14,1513979,
43,2019-06-21,1566022,
44,2019-06-28,1618032,
45,2019-07-05,1617909,
46,2019-07-12,1731853,
47,2019-07-19,1613663,
48,2019-07-26,1550391,
49,2019-08-02,1557844,
50,2019-08-09,1554889,
51,2019-08-16,1514440,
52,2019-08-23,1507043,
53,2019-08-30,1546958,
54,2019-09-06,1698988,
55,2019-09-13,1704870,
56,2019-09-20,1604981,
57,2019-09-27,1568888,
58,2019-10-04,1612627,
59,2019-10-11,1631489,
60,2019-10-18,1648754,
61,2019-10-25,1687822,
62,2019-11-01,1603599,
63,2019-11-08,1584102,
64,2019-11-15,1596389,
65,2019-11-22,1584636,
66,2019-11-29,1740762,
67,2019-12-06,1868821,
68,2019-12-13,1961901,
69,2019-12-20,2359866,
70,2019-12-27,1630351,
71,2020-01-03,1711983,0.0
72,2020-01-10,1851170,0.0
73,2020-01-17,2034094,0.0
74,2020-01-24,1858006,0.0
75,2020-01-31,1814672,1.2
76,2020-02-07,1809120,2.8
77,2020-02-14,1774030,2.8
78,2020-02-21,1841018,2.8
79,2020-02-28,1775143,5.9
80,2020-03-06,1797836,8.3
81,2020-03-13,1751652,27.0
82,2020-03-20,1843341,55.7
83,2020-03-27,1750953,62.0
84,2020-04-03,1782999,65.7
85,2020-04-10,1671534,65.7
86,2020-04-17,1789521,65.7
87,2020-04-24,1775571,65.7
88,2020-05-01,1685276,65.7
89,2020-05-08,1752075,65.7
90,2020-05-15,1708411,59.8
91,2020-05-22,1778378,57.4
92,2020-05-29,1712015,57.4
93,2020-06-05,1662863,57.4
94,2020-06-12,1752919,49.5
95,2020-06-19,1780483,46.3
96,2020-06-26,1606045,46.3
97,2020-07-03,1670292,46.3
98,2020-07-10,1805798,46.3
99,2020-07-17,1756952,46.3
100,2020-07-24,1722492,46.3
101,2020-07-31,1720200,46.3
102,2020-08-07,1720678,46.3
103,2020-08-14,1742771,46.3
