,date,streams,stringency
0,2018-08-24,67114943,
1,2018-08-31,75928950,
2,2018-09-07,80271104,
3,2018-09-14,79581894,
4,2018-09-21,78606490,
5,2018-09-28,76510964,
6,2018-10-05,79284191,
7,2018-10-12,76310175,
8,2018-10-19,76523583,
9,2018-10-26,77413304,
10,2018-11-02,80558675,
11,2018-11-09,79742915,
12,2018-11-16,77108018,
13,2018-11-23,87393364,
14,2018-11-30,83364920,
15,2018-12-07,81486403,
16,2018-12-14,82368944,
17,2018-12-21,94188725,
18,2018-12-28,64608700,
19,2019-01-04,72439581,
20,2019-01-11,79461612,
21,2019-01-18,79577041,
22,2019-01-25,82403979,
23,2019-02-01,81051465,
24,2019-02-08,91371653,
25,2019-02-15,82142741,
26,2019-02-22,80743302,
27,2019-03-01,78207442,
28,2019-03-08,80460401,
29,2019-03-15,81119544,
30,2019-03-22,81684955,
31,2019-03-29,86864755,
32,2019-04-05,87454835,
33,2019-04-12,86846290,
34,2019-04-19,83439493,
35,2019-04-26,75309657,
36,2019-05-03,82254802,
37,2019-05-10,85887939,
38,2019-05-17,93756732,
39,2019-05-24,87918443,
40,2019-05-31,81407049,
41,2019-06-07,79966310,
42,2019-06-14,79922218,
43,2019-06-21,82060944,
44,2019-06-28,85135874,
45,2019-07-05,79078715,
46,2019-07-12,85642133,
47,2019-07-19,78213952,
48,2019-07-26,76777243,
49,2019-08-02,77545715,
50,2019-08-09,75682033,
51,2019-08-16,75053517,
52,2019-08-23,74388789,
53,2019-08-30,78045056,
54,2019-09-06,83720169,
55,2019-09-13,81096204,
56,2019-09-20,78326126,
57,2019-09-27,80491305,
58,2019-10-04,83609094,
59,2019-10-11,79306714,
60,2019-10-18,79800723,
61,2019-10-25,89105608,
62,2019-11-01,88260961,
63,2019-11-08,79324948,
64,2019-11-15,76385493,
65,2019-11-22,75938881,
66,2019-11-29,79004895,
67,2019-12-06,81254634,
68,2019-12-13,84115553,
69,2019-12-20,95910657,
70,2019-12-27,62082589,
71,2020-01-03,72204056,0.0
72,2020-01-10,82944986,0.0
73,2020-01-17,86046600,0.0
74,2020-01-24,83061746,0.0
75,2020-01-31,81598666,0.0
76,2020-02-07,79310981,0.0
77,2020-02-14,78016762,0.0
78,2020-02-21,71109417,0.0
79,2020-02-28,76798463,0.0
80,2020-03-06,75897824,0.8
81,2020-03-13,74547306,32.4
82,2020-03-20,78701461,66.8
83,2020-03-27,81377311,74.1
84,2020-04-03,91968474,78.8
85,2020-04-10,78861946,79.6
86,2020-04-17,75171499,79.6
87,2020-04-24,70982107,79.6
88,2020-05-01,71183306,79.6
89,2020-05-08,70241761,79.6
90,2020-05-15,72075545,68.5
91,2020-05-22,69672535,68.5
92,2020-05-29,73898307,68.5
93,2020-06-05,69032300,63.0
94,2020-06-12,72634643,63.0
95,2020-06-19,73337355,59.3
96,2020-06-26,70251983,59.3
97,2020-07-03,77009855,45.4
98,2020-07-10,89215708,39.8
99,2020-07-17,79974559,39.8
100,2020-07-24,77735951,39.8
101,2020-07-31,77669240,39.8
102,2020-08-07,74686908,39.8
103,2020-08-14,71135506,39.8
