,date,streams,stringency
0,2018-08-24,25430818,
1,2018-08-31,24843040,
2,2018-09-07,24352976,
3,2018-09-14,24416983,
4,2018-09-21,24437330,
5,2018-09-28,23881857,
6,2018-10-05,25204285,
7,2018-10-12,24875221,
8,2018-10-19,31389917,
9,2018-10-26,28751624,
10,2018-11-02,26667816,
11,2018-11-09,26090902,
12,2018-11-16,24403341,
13,2018-11-23,24912577,
14,2018-11-30,28481001,
15,2018-12-07,30238727,
16,2018-12-14,32582096,
17,2018-12-21,34175505,
18,2018-12-28,25802888,
19,2019-01-04,26757964,
20,2019-01-11,27748030,
21,2019-01-18,28381517,
22,2019-01-25,28346579,
23,2019-02-01,29008674,
24,2019-02-08,31178320,
25,2019-02-15,31692228,
26,2019-02-22,29777872,
27,2019-03-01,33292099,
28,2019-03-08,29687636,
29,2019-03-15,28955635,
30,2019-03-22,27847496,
31,2019-03-29,29739493,
32,2019-04-05,29552999,
33,2019-04-12,29908835,
34,2019-04-19,25801963,
35,2019-04-26,26291597,
36,2019-05-03,25706537,
37,2019-05-10,27670929,
38,2019-05-17,29658488,
39,2019-05-24,30228358,
40,2019-05-31,32314845,
41,2019-06-07,32732747,
42,2019-06-14,32479090,
43,2019-06-21,33516633,
44,2019-06-28,34998856,
45,2019-07-05,33487572,
46,2019-07-12,34159131,
47,2019-07-19,38445894,
48,2019-07-26,40506544,
49,2019-08-02,37165160,
50,2019-08-09,35837313,
51,2019-08-16,35241281,
52,2019-08-23,35867420,
53,2019-08-30,35620191,
54,2019-09-06,35084518,
55,2019-09-13,35776328,
56,2019-09-20,34920141,
57,2019-09-27,37379388,
58,2019-10-04,37072460,
59,2019-10-11,38057575,
60,2019-10-18,39048936,
61,2019-10-25,40730302,
62,2019-11-01,37626975,
63,2019-11-08,38821797,
64,2019-11-15,40183378,
65,2019-11-22,40552202,
66,2019-11-29,43988287,
67,2019-12-06,44060889,
68,2019-12-13,47159880,
69,2019-12-20,49803582,
70,2019-12-27,36605197,
71,2020-01-03,36623463,0.0
72,2020-01-10,40848698,0.0
73,2020-01-17,44741115,0.0
74,2020-01-24,42336690,3.2
75,2020-01-31,42951748,5.6
76,2020-02-07,43286269,5.6
77,2020-02-14,44075840,5.6
78,2020-02-21,43376823,5.6
79,2020-02-28,44396470,8.7
80,2020-03-06,47123133,11.1
81,2020-03-13,41579658,36.3
82,2020-03-20,39536406,57.4
83,2020-03-27,43040471,57.4
84,2020-04-03,49174463,78.1
85,2020-04-10,39338972,82.5
86,2020-04-17,39928657,83.3
87,2020-04-24,39062678,83.3
88,2020-05-01,36779644,83.3
89,2020-05-08,38675131,83.3
90,2020-05-15,37967688,83.3
91,2020-05-22,37601233,83.3
92,2020-05-29,38310870,75.4
93,2020-06-05,39303146,55.3
94,2020-06-12,40126304,53.7
95,2020-06-19,39935844,50.9
96,2020-06-26,40753076,50.9
97,2020-07-03,41065855,50.9
98,2020-07-10,46980835,44.6
99,2020-07-17,46932600,39.8
100,2020-07-24,46899327,39.8
101,2020-07-31,46117945,39.8
102,2020-08-07,46965173,39.8
103,2020-08-14,44895898,39.8
