,date,streams,stringency
0,2018-08-24,8730023,
1,2018-08-31,9444484,
2,2018-09-07,9183448,
3,2018-09-14,9055023,
4,2018-09-21,9494344,
5,2018-09-28,10002400,
6,2018-10-05,9914444,
7,2018-10-12,10241815,
8,2018-10-19,10203538,
9,2018-10-26,9675705,
10,2018-11-02,9739702,
11,2018-11-09,10303966,
12,2018-11-16,10074502,
13,2018-11-23,9687830,
14,2018-11-30,10150510,
15,2018-12-07,10081106,
16,2018-12-14,10252836,
17,2018-12-21,9912639,
18,2018-12-28,9014580,
19,2019-01-04,9801143,
20,2019-01-11,10433048,
21,2019-01-18,10688938,
22,2019-01-25,10513229,
23,2019-02-01,10546940,
24,2019-02-08,11174604,
25,2019-02-15,10486743,
26,2019-02-22,11085325,
27,2019-03-01,10499387,
28,2019-03-08,10957417,
29,2019-03-15,10982605,
30,2019-03-22,11163714,
31,2019-03-29,11528672,
32,2019-04-05,11460070,
33,2019-04-12,10864826,
34,2019-04-19,9860968,
35,2019-04-26,10091306,
36,2019-05-03,10463309,
37,2019-05-10,10995484,
38,2019-05-17,11228055,
39,2019-05-24,11399360,
40,2019-05-31,11352875,
41,2019-06-07,11014996,
42,2019-06-14,11056069,
43,2019-06-21,11271373,
44,2019-06-28,11704081,
45,2019-07-05,11745909,
46,2019-07-12,11793240,
47,2019-07-19,11376592,
48,2019-07-26,11154589,
49,2019-08-02,11284965,
50,2019-08-09,10885739,
51,2019-08-16,10941537,
52,2019-08-23,10824120,
53,2019-08-30,11679612,
54,2019-09-06,12009208,
55,2019-09-13,11493657,
56,2019-09-20,12719052,
57,2019-09-27,12574985,
58,2019-10-04,13287144,
59,2019-10-11,13249307,
60,2019-10-18,12887217,
61,2019-10-25,13229263,
62,2019-11-01,12883070,
63,2019-11-08,12948550,
64,2019-11-15,12769929,
65,2019-11-22,12593989,
66,2019-11-29,13019330,
67,2019-12-06,13075026,
68,2019-12-13,13335029,
69,2019-12-20,13183383,
70,2019-12-27,12185361,
71,2020-01-03,12730806,0.0
72,2020-01-10,13871179,0.0
73,2020-01-17,13879689,0.0
74,2020-01-24,13569857,1.6
75,2020-01-31,13756821,11.1
76,2020-02-07,13253190,11.1
77,2020-02-14,13222298,11.1
78,2020-02-21,13131782,11.1
79,2020-02-28,13315009,11.1
80,2020-03-06,13319921,11.1
81,2020-03-13,13475094,28.0
82,2020-03-20,13954331,63.4
83,2020-03-27,12863142,82.4
84,2020-04-03,12305537,82.4
85,2020-04-10,12400401,85.6
86,2020-04-17,12463478,83.2
87,2020-04-24,12645815,82.4
88,2020-05-01,12868573,84.8
89,2020-05-08,12266240,75.0
90,2020-05-15,12701022,75.0
91,2020-05-22,12859175,71.3
92,2020-05-29,12634883,71.3
93,2020-06-05,12277335,70.5
94,2020-06-12,12158201,69.9
95,2020-06-19,12071053,69.9
96,2020-06-26,12423236,71.5
97,2020-07-03,12461795,68.7
98,2020-07-10,12559891,65.7
99,2020-07-17,12428079,69.2
100,2020-07-24,12499879,71.8
101,2020-07-31,12343812,66.2
102,2020-08-07,12326090,65.3
103,2020-08-14,12158946,66.2
