,date,streams,stringency
0,2018-08-24,1958986,
1,2018-08-31,2391996,
2,2018-09-07,2108987,
3,2018-09-14,2152635,
4,2018-09-21,2138312,
5,2018-09-28,2215470,
6,2018-10-05,2251314,
7,2018-10-12,2292088,
8,2018-10-19,2317869,
9,2018-10-26,2379017,
10,2018-11-02,2398958,
11,2018-11-09,2468372,
12,2018-11-16,2438783,
13,2018-11-23,2520852,
14,2018-11-30,2539909,
15,2018-12-07,2786386,
16,2018-12-14,2875280,
17,2018-12-21,3041112,
18,2018-12-28,2529991,
19,2019-01-04,2836646,
20,2019-01-11,2921968,
21,2019-01-18,3225959,
22,2019-01-25,3241396,
23,2019-02-01,3472696,
24,2019-02-08,3579750,
25,2019-02-15,3302567,
26,2019-02-22,3233234,
27,2019-03-01,3227253,
28,2019-03-08,3154757,
29,2019-03-15,3109001,
30,2019-03-22,3134459,
31,2019-03-29,3509844,
32,2019-04-05,3296378,
33,2019-04-12,3880028,
34,2019-04-19,3526403,
35,2019-04-26,2880195,
36,2019-05-03,2997265,
37,2019-05-10,3068646,
38,2019-05-17,3228601,
39,2019-05-24,3243928,
40,2019-05-31,3048604,
41,2019-06-07,3098882,
42,2019-06-14,3052696,
43,2019-06-21,3285327,
44,2019-06-28,3472626,
45,2019-07-05,3333796,
46,2019-07-12,3476529,
47,2019-07-19,3273248,
48,2019-07-26,3204702,
49,2019-08-02,3159199,
50,2019-08-09,3125318,
51,2019-08-16,3142369,
52,2019-08-23,3162393,
53,2019-08-30,3363919,
54,2019-09-06,3616693,
55,2019-09-13,3699580,
56,2019-09-20,3522135,
57,2019-09-27,3983925,
58,2019-10-04,3969991,
59,2019-10-11,3936081,
60,2019-10-18,3896061,
61,2019-10-25,4046269,
62,2019-11-01,3931375,
63,2019-11-08,3799627,
64,2019-11-15,3902301,
65,2019-11-22,3830913,
66,2019-11-29,4033289,
67,2019-12-06,4388005,
68,2019-12-13,4613037,
69,2019-12-20,4486140,
70,2019-12-27,3959661,
71,2020-01-03,4251558,0.0
72,2020-01-10,4590819,0.0
73,2020-01-17,5328316,0.0
74,2020-01-24,4846620,0.0
75,2020-01-31,4765237,3.6
76,2020-02-07,4667230,5.6
77,2020-02-14,4700558,5.6
78,2020-02-21,4992794,5.6
79,2020-02-28,4742009,15.1
80,2020-03-06,4855403,18.7
81,2020-03-13,4476212,49.2
82,2020-03-20,4826921,63.1
83,2020-03-27,4514982,77.6
84,2020-04-03,4333278,86.2
85,2020-04-10,4328935,87.0
86,2020-04-17,4118967,87.0
87,2020-04-24,4546517,87.0
88,2020-05-01,4340630,87.0
89,2020-05-08,4395292,87.0
90,2020-05-15,4480675,77.1
91,2020-05-22,4573367,75.0
92,2020-05-29,5063575,75.0
93,2020-06-05,4432715,57.4
94,2020-06-12,4406618,57.4
95,2020-06-19,4340012,44.3
96,2020-06-26,5754287,41.7
97,2020-07-03,4975059,41.7
98,2020-07-10,5034107,44.3
99,2020-07-17,4881788,45.4
100,2020-07-24,4717513,45.4
101,2020-07-31,4629858,45.4
102,2020-08-07,4636635,45.4
103,2020-08-14,4635551,45.4
