,date,streams,stringency
0,2018-08-24,1745234,
1,2018-08-31,2024877,
2,2018-09-07,1975851,
3,2018-09-14,1982482,
4,2018-09-21,1969050,
5,2018-09-28,1951417,
6,2018-10-05,2071818,
7,2018-10-12,2038913,
8,2018-10-19,2092885,
9,2018-10-26,2056720,
10,2018-11-02,2000463,
11,2018-11-09,2264360,
12,2018-11-16,2175521,
13,2018-11-23,2113026,
14,2018-11-30,2457426,
15,2018-12-07,2473577,
16,2018-12-14,2818930,
17,2018-12-21,2930357,
18,2018-12-28,2145511,
19,2019-01-04,2216847,
20,2019-01-11,2358962,
21,2019-01-18,2397404,
22,2019-01-25,2406327,
23,2019-02-01,2391622,
24,2019-02-08,2502233,
25,2019-02-15,2420204,
26,2019-02-22,2343819,
27,2019-03-01,2321670,
28,2019-03-08,2277335,
29,2019-03-15,2265969,
30,2019-03-22,2274990,
31,2019-03-29,2536012,
32,2019-04-05,2357705,
33,2019-04-12,2410868,
34,2019-04-19,2105954,
35,2019-04-26,2290978,
36,2019-05-03,2253503,
37,2019-05-10,2119562,
38,2019-05-17,2532679,
39,2019-05-24,2943065,
40,2019-05-31,2714386,
41,2019-06-07,2572985,
42,2019-06-14,2570959,
43,2019-06-21,2875514,
44,2019-06-28,2962103,
45,2019-07-05,2709807,
46,2019-07-12,2856568,
47,2019-07-19,2670873,
48,2019-07-26,2516566,
49,2019-08-02,2547414,
50,2019-08-09,2503780,
51,2019-08-16,2479844,
52,2019-08-23,2349020,
53,2019-08-30,3208102,
54,2019-09-06,3369809,
55,2019-09-13,3192377,
56,2019-09-20,2980690,
57,2019-09-27,2925127,
58,2019-10-04,2930304,
59,2019-10-11,2992162,
60,2019-10-18,2911590,
61,2019-10-25,3181560,
62,2019-11-01,3139623,
63,2019-11-08,2880282,
64,2019-11-15,3530945,
65,2019-11-22,3399430,
66,2019-11-29,3369424,
67,2019-12-06,3672004,
68,2019-12-13,5594782,
69,2019-12-20,5010402,
70,2019-12-27,3503727,
71,2020-01-03,3512991,0.0
72,2020-01-10,3778328,0.0
73,2020-01-17,3950841,0.0
74,2020-01-24,3720903,0.0
75,2020-01-31,3542197,2.8
76,2020-02-07,3473006,2.8
77,2020-02-14,3554864,2.8
78,2020-02-21,3469929,2.8
79,2020-02-28,3361977,2.8
80,2020-03-06,4066509,11.1
81,2020-03-13,3685856,48.9
82,2020-03-20,3737812,75.0
83,2020-03-27,3627535,75.0
84,2020-04-03,3552547,75.0
85,2020-04-10,3580411,83.6
86,2020-04-17,3493707,76.7
87,2020-04-24,3702980,73.7
88,2020-05-01,4224145,73.2
89,2020-05-08,4028665,73.2
90,2020-05-15,3680164,73.2
91,2020-05-22,3557393,73.2
92,2020-05-29,3571357,73.2
93,2020-06-05,3462542,56.3
94,2020-06-12,3449678,45.1
95,2020-06-19,3494352,39.9
96,2020-06-26,3464632,38.0
97,2020-07-03,3572722,38.0
98,2020-07-10,3994630,38.0
99,2020-07-17,3702849,38.0
100,2020-07-24,3551557,38.0
101,2020-07-31,3566775,35.2
102,2020-08-07,3936437,35.2
103,2020-08-14,3897119,34.8
