,date,streams,stringency
0,2018-08-24,51913587,
1,2018-08-31,55020209,
2,2018-09-07,52755183,
3,2018-09-14,53277596,
4,2018-09-21,52795704,
5,2018-09-28,54464537,
6,2018-10-05,53996778,
7,2018-10-12,54774189,
8,2018-10-19,56138725,
9,2018-10-26,56373467,
10,2018-11-02,54074514,
11,2018-11-09,55303096,
12,2018-11-16,53948805,
13,2018-11-23,57086019,
14,2018-11-30,64297255,
15,2018-12-07,60456769,
16,2018-12-14,65294577,
17,2018-12-21,79347944,
18,2018-12-28,46946425,
19,2019-01-04,47158217,
20,2019-01-11,50621419,
21,2019-01-18,51903743,
22,2019-01-25,53038674,
23,2019-02-01,53165809,
24,2019-02-08,56042944,
25,2019-02-15,54278753,
26,2019-02-22,59382834,
27,2019-03-01,62239714,
28,2019-03-08,66056902,
29,2019-03-15,59922095,
30,2019-03-22,58918197,
31,2019-03-29,63540317,
32,2019-04-05,63049828,
33,2019-04-12,69044506,
34,2019-04-19,61337919,
35,2019-04-26,63459211,
36,2019-05-03,60361924,
37,2019-05-10,64858824,
38,2019-05-17,69222515,
39,2019-05-24,62904294,
40,2019-05-31,62198437,
41,2019-06-07,70252916,
42,2019-06-14,66227462,
43,2019-06-21,61607173,
44,2019-06-28,61819650,
45,2019-07-05,60966702,
46,2019-07-12,60654464,
47,2019-07-19,58638529,
48,2019-07-26,55792814,
49,2019-08-02,54526653,
50,2019-08-09,53844429,
51,2019-08-16,54448747,
52,2019-08-23,55054764,
53,2019-08-30,59363466,
54,2019-09-06,66319107,
55,2019-09-13,60582262,
56,2019-09-20,57600335,
57,2019-09-27,56622149,
58,2019-10-04,57125536,
59,2019-10-11,57519303,
60,2019-10-18,56092284,
61,2019-10-25,56885445,
62,2019-11-01,53572837,
63,2019-11-08,57000743,
64,2019-11-15,59281125,
65,2019-11-22,61244539,
66,2019-11-29,69338084,
67,2019-12-06,66561597,
68,2019-12-13,68105590,
69,2019-12-20,85608400,
70,2019-12-27,52177954,
71,2020-01-03,51416416,0.0
72,2020-01-10,62389679,0.0
73,2020-01-17,66990089,0.0
74,2020-01-24,64003261,0.0
75,2020-01-31,61239309,0.0
76,2020-02-07,58894486,0.0
77,2020-02-14,57773401,0.0
78,2020-02-21,58660074,0.0
79,2020-02-28,59847746,0.0
80,2020-03-06,64702308,0.0
81,2020-03-13,59011968,14.3
82,2020-03-20,57499550,24.1
83,2020-03-27,57303855,31.7
84,2020-04-03,61371699,40.7
85,2020-04-10,55050340,46.3
86,2020-04-17,55728709,46.3
87,2020-04-24,55556498,46.3
88,2020-05-01,51799803,46.3
89,2020-05-08,53707178,46.3
90,2020-05-15,57533184,46.3
91,2020-05-22,58315898,46.3
92,2020-05-29,59885968,46.3
93,2020-06-05,54991551,46.3
94,2020-06-12,59471636,44.7
95,2020-06-19,59782232,38.9
96,2020-06-26,54782681,38.9
97,2020-07-03,53503579,38.9
98,2020-07-10,52417725,38.9
99,2020-07-17,51264443,38.9
100,2020-07-24,48374556,38.9
101,2020-07-31,49724046,38.1
102,2020-08-07,49391231,37.0
103,2020-08-14,48593257,37.0
